Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31
Revenue,89.2,88.63,80.69,79.66,78.11,73.17,67.66,57.72,49.24,42.3,45,43.15,38.02,34.62,30.46,25.91,22.31,15.64,18.92,19.89,18.52,-
Revenue Growth (YoY),14.20%,21.12%,19.26%,38.02%,58.62%,73.00%,50.36%,33.76%,29.52%,22.17%,47.72%,66.57%,70.44%,121.34%,61.03%,30.23%,20.43%,-,-,-,-,-
Cost of Revenue,20.65,18.42,30.9,14.4,14.95,10.17,28.48,7.24,-4.42,17.21,41.06,3.98,1.86,2.2,2.44,0.64,0.32,-0.77,5.37,0.73,0.94,-
Gross Profit,68.55,70.2,49.79,65.26,63.16,63,39.19,50.48,53.67,25.08,3.94,39.17,36.16,32.43,28.02,25.26,21.99,16.41,13.54,19.16,17.59,-
"Selling, General & Admin",44.9,44.83,44.32,46.86,43.98,41.57,39.06,34.96,33.56,27.48,25.78,23.86,21,18.02,18.57,16.14,35.83,11.43,11.37,11.79,11.6,-
Operating Expenses,44.9,44.83,44.32,46.86,43.98,41.57,39.06,34.96,33.56,27.48,25.78,23.86,21,18.02,18.57,16.14,35.83,11.43,11.37,11.79,11.6,-
Operating Income,23.65,25.38,5.47,18.4,19.18,21.43,0.12,15.52,20.11,-2.4,-21.84,15.31,15.16,14.41,9.45,9.13,-13.84,4.98,2.17,7.37,5.99,-
Interest Expense / Income,1.02,0.4,0.27,0.11,0.09,0.04,0,0,0,0,0,0,0,0,0,0.64,0.43,0.86,0.61,0.43,0.4,-
Pretax Income,22.63,24.98,5.2,18.29,19.08,21.39,0.12,15.52,20.11,-2.4,-21.84,15.31,15.16,14.41,9.45,8.49,-14.27,4.12,1.57,6.94,5.59,-
Income Tax,5.32,6.22,0.91,3.7,4.55,4.76,-0.12,3.18,3.48,-0.56,-6.16,3.3,3.38,3.53,2,1.79,0.15,-0.01,0,0,-0.01,-
Net Income,17.31,18.76,4.29,14.59,14.54,16.63,0.25,12.34,16.63,-1.85,-15.69,12.01,11.78,10.88,7.45,6.7,-14.41,4.13,1.57,6.93,5.59,-
Net Income Growth,19.10%,12.79%,1642.28%,18.23%,-12.59%,-,-,2.73%,41.23%,-,-,79.34%,-,163.61%,375.99%,-3.40%,-,-,-,-,-,-
Shares Outstanding (Basic),25,25,25,25,25,25,25,25,26,26,25,24,24,23,23,22,17,17,17,17,17,17
Shares Outstanding (Diluted),25,26,26,26,26,26,26,26,26,26,25,25,25,25,24,22,17,17,17,17,17,-
Shares Change,-1.76%,-1.10%,-0.98%,-1.37%,-1.36%,-0.74%,2.16%,4.18%,5.96%,5.71%,6.73%,13.35%,45.76%,46.02%,40.50%,30.03%,-,-,-,-,-,-
EPS (Basic),0.69,0.75,0.17,0.58,0.57,0.65,0.01,0.48,0.65,-0.08,-0.62,0.49,0.49,0.50,0.32,0.30,-0.85,0.24,0.09,0.41,0.33,-
EPS (Diluted),0.68,0.73,0.17,0.57,0.56,0.64,0.01,0.47,0.63,-0.08,-0.62,0.48,0.48,0.50,0.31,0.30,-0.85,0.24,0.09,0.41,0.33,-
EPS Growth,21.43%,14.06%,1600.00%,21.28%,-11.11%,-,-,-2.08%,31.25%,-,-,60.00%,-,108.33%,244.44%,-26.83%,-,-,-,-,-,-
Free Cash Flow Per Share,0.63,2.92,0.41,1.27,1.88,1.95,1.69,0.14,-0.51,0.37,0.77,0.11,0.90,0.26,0.80,0.66,0.14,0.41,0.03,0.40,0.48,-
Gross Margin,76.85%,79.21%,61.71%,81.93%,80.86%,86.10%,57.92%,87.46%,108.98%,59.30%,8.75%,90.78%,95.10%,93.66%,91.99%,97.52%,98.58%,104.92%,71.59%,96.32%,94.94%,-
Operating Margin,26.51%,28.63%,6.78%,23.10%,24.55%,29.29%,0.18%,26.89%,40.83%,-5.68%,-48.54%,35.48%,39.87%,41.61%,31.02%,35.23%,-62.03%,31.84%,11.49%,37.06%,32.34%,-
Profit Margin,19.41%,21.17%,5.31%,18.31%,18.61%,22.73%,0.36%,21.38%,33.77%,-4.36%,-34.86%,27.84%,30.97%,31.42%,24.47%,25.86%,-64.60%,26.38%,8.28%,34.86%,30.19%,-
Free Cash Flow Margin,17.69%,82.99%,12.79%,40.15%,61.19%,67.73%,63.21%,6.38%,-26.51%,22.07%,43.67%,6.16%,57.29%,17.32%,61.51%,55.66%,10.89%,44.62%,3.10%,33.93%,44.06%,-
Effective Tax Rate,23.49%,24.89%,17.55%,20.25%,23.83%,22.26%,-101.64%,20.47%,17.29%,-,-,21.54%,22.32%,24.48%,21.11%,21.08%,-,-0.12%,0.19%,0.04%,-0.11%,-
EBITDA,23.65,29.49,5.47,18.4,19.18,24.98,0.12,15.52,20.11,-1.07,-21.84,15.31,15.16,14.62,9.45,9.13,-13.84,5.19,2.17,7.37,5.99,-
EBITDA Margin,26.51%,33.28%,6.78%,23.10%,24.55%,34.14%,0.18%,26.89%,40.83%,-2.52%,-48.54%,35.48%,39.87%,42.23%,31.02%,35.23%,-62.03%,33.20%,11.49%,37.06%,32.34%,-
Depreciation & Amortization,0,4.12,0,0,0,3.54,0,0,0,1.34,0,0,0,0.22,0,0,0,0.21,0,0,0,-
EBIT,23.65,25.38,5.47,18.4,19.18,21.43,0.12,15.52,20.11,-2.4,-21.84,15.31,15.16,14.41,9.45,9.13,-13.84,4.98,2.17,7.37,5.99,-
EBIT Margin,26.51%,28.63%,6.78%,23.10%,24.55%,29.29%,0.18%,26.89%,40.83%,-5.68%,-48.54%,35.48%,39.87%,41.61%,31.02%,35.23%,-62.03%,31.84%,11.49%,37.06%,32.34%,-
