Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.28,1.32,0.53,0.3,0.28,0.09,0,0.02
Other Operating Expenses,0.51,0.33,0.44,0.35,0.35,0.66,0,0
Operating Expenses,0.79,1.65,0.97,0.65,0.63,0.74,0,0.02
Operating Income,-0.79,-1.65,-0.97,-0.65,-0.63,-0.74,0,-0.02
Other Expense / Income,-1.98,-3.97,-1.43,-6.02,-6.23,1.9,-,-
Pretax Income,1.19,2.32,0.46,5.37,5.6,-2.65,0,-0.02
Net Income,1.19,2.32,0.46,5.37,5.6,-2.65,0,-0.02
Net Income Growth,-78.74%,-,-,-,-,-,-,-
Shares Outstanding (Basic),37,37,37,37,37,9,6,7
Shares Outstanding (Diluted),37,37,37,37,37,9,6,7
Shares Change,-,330.86%,500.00%,438.11%,-,-,-,-
EPS (Basic),-0.04,-0.02,-0.01,0.14,0.15,-0.46,-,-
EPS (Diluted),-0.04,-0.02,-0.01,0.14,0.15,-0.46,-,-
Free Cash Flow Per Share,0.04,0.07,-0.00,-0.01,-0.02,-0.00,-,-
EBITDA,1.19,2.32,0.46,5.37,5.6,-2.65,0,-0.02
EBIT,1.19,2.32,0.46,5.37,5.6,-2.65,0,-0.02
