Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31
Revenue,108.09,111.99,112.35,104.99,97.87,110.43,108.07,97.58,114.24,107.85,101,75.68,55.26,58.33,42.28,37.69,27.15,37.3,34.77,32.84,30.02,32.46,25.85,32.11,21.38,21.87,26.36,-
Revenue Growth (YoY),10.44%,1.41%,3.95%,7.60%,-14.33%,2.39%,7.01%,28.94%,106.74%,84.89%,138.86%,100.80%,103.55%,56.37%,21.60%,14.77%,-9.56%,14.92%,34.49%,2.27%,40.38%,48.45%,-1.92%,-,-,-,-,-
Gross Profit,108.09,111.99,112.35,104.99,97.87,110.43,108.07,97.58,114.24,107.85,101,75.68,55.26,58.33,42.28,37.69,27.15,37.3,34.77,32.84,30.02,32.46,25.85,32.11,21.38,21.87,26.36,-
"Selling, General & Admin",24.38,24.67,24.99,24.49,23.11,27.46,22.06,20.68,22.9,18,17.99,13.21,15.73,12.22,10.13,10.91,9.44,11.37,8.58,8.03,7.05,7.58,5.68,5.57,4.25,4.59,4.13,-
Other Operating Expenses,10.39,12.44,9.96,8.47,7.93,10.19,7.41,7.51,7.18,9.46,8.4,7.07,6.56,6.62,5.39,5.01,3.59,4.81,3.87,3.97,3.22,3.22,3.27,2.69,2.39,2.8,3.04,0
Operating Expenses,34.77,37.11,34.95,32.96,31.03,37.65,29.47,28.18,30.08,27.47,26.38,20.28,22.29,18.84,15.52,15.92,13.04,16.18,12.45,12,10.27,10.8,8.94,8.26,6.64,7.38,7.17,-
Operating Income,73.32,74.88,77.4,72.03,66.84,72.78,78.6,69.39,84.15,80.38,74.61,55.4,32.96,39.5,26.76,21.77,14.11,21.12,22.32,20.84,19.75,21.66,16.91,23.85,14.74,14.48,19.19,-
Pretax Income,73.32,74.88,77.4,72.03,66.84,72.78,78.6,69.39,84.15,80.38,74.61,55.4,32.96,39.5,26.76,21.77,14.11,21.12,22.32,20.84,19.75,21.66,16.91,23.85,14.74,14.48,19.19,-
Income Tax,18.36,17.72,18.91,18.1,16.7,17.58,20.1,17.98,22.17,20.6,19.61,14.23,8.38,9.43,6.5,5.33,3.54,5.7,5.58,5.19,4.68,1.33,6.45,9.09,5.61,5.73,7.59,-
Net Income,54.96,57.16,58.49,53.94,50.14,55.2,58.5,51.42,61.98,59.79,55,41.16,24.58,30.06,20.26,16.44,10.57,15.42,16.74,15.65,15.06,20.33,10.47,14.76,9.13,8.75,11.6,-
Preferred Dividends,8.67,8.8,5.73,5.73,5.73,5.73,5.73,5.66,3.76,3.62,3.62,3.62,3.62,3.62,3.02,1.74,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,2,0,-
Net Income Common,46.29,48.36,52.76,48.21,44.41,49.47,52.77,45.76,58.23,56.17,51.38,37.54,20.97,26.44,17.24,14.7,9.74,14.59,15.91,14.82,14.23,19.5,9.63,13.93,8.3,6.75,11.6,-
Net Income Growth,4.22%,-2.25%,-0.03%,5.35%,-23.72%,-11.92%,2.71%,21.88%,177.73%,112.41%,198.10%,155.46%,115.31%,81.24%,8.37%,-0.84%,-31.56%,-25.16%,65.10%,6.42%,71.46%,188.74%,-16.94%,-,-,-,-,-
Shares Outstanding (Basic),43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,40,32,32,32,32,32,32
Shares Outstanding (Diluted),43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,40,32,32,32,32,32,-
Shares Change,-0.16%,-0.29%,-0.13%,0.05%,0.20%,0.42%,0.34%,0.39%,0.32%,0.20%,0.12%,0.06%,0.08%,0.05%,0.06%,0.09%,0.09%,7.67%,34.69%,35.94%,35.92%,26.41%,1.01%,0.25%,-,-,-,-
EPS (Basic),1.07,1.12,1.22,1.12,1.03,1.15,1.22,1.06,1.35,1.30,1.19,0.87,0.49,0.61,0.40,0.34,0.23,0.34,0.37,0.35,0.33,0.52,0.30,0.44,0.26,0.25,0.34,-
EPS (Diluted),1.07,1.11,1.22,1.11,1.02,1.14,1.22,1.06,1.35,1.30,1.19,0.87,0.49,0.61,0.40,0.34,0.23,0.33,0.37,0.35,0.33,0.52,0.30,0.44,0.26,0.25,0.34,-
EPS Growth,4.90%,-2.63%,0%,4.72%,-24.44%,-12.51%,2.26%,21.42%,177.21%,112.56%,198.25%,156.76%,114.54%,84.08%,8.99%,-2.02%,-31.83%,-35.96%,22.33%,-21.14%,28.08%,110.53%,-11.76%,-,-,-,-,-
Free Cash Flow Per Share,-7.01,-19.92,22.23,-9.77,29.91,7.83,-15.26,-0.60,6.81,7.68,17.68,-25.51,-20.24,9.41,-15.88,-23.02,-0.03,2.23,0.58,4.63,-2.90,-5.19,6.72,-3.02,-2.78,8.64,-7.03,-
