Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.62,0.38,0.51,0.41,0.42,0,0.01
Operating Expenses,0.62,0.38,0.51,0.41,0.42,0,0.01
Operating Income,-0.62,-0.38,-0.51,-0.41,-0.42,0,-0.01
Other Expense / Income,-1.68,-0.6,-0.23,-0.02,-0,-,-
Pretax Income,1.06,0.22,-0.28,-0.39,-0.42,0,-0.01
Income Tax,0.35,0,0.11,0,0,0,0
Net Income,0.72,0.22,-0.39,-0.39,-0.42,0,-0.01
Shares Outstanding (Basic),22,22,22,22,7,5,5
Shares Outstanding (Diluted),22,22,22,22,7,5,5
Shares Change,227.24%,339.61%,331.25%,-,-,-,-
EPS (Basic),0.04,0.01,-0.02,-0.02,-0.06,-,-
EPS (Diluted),0.04,0.01,-0.02,-0.02,-0.06,-,-
Free Cash Flow Per Share,-0.03,-0.02,-0.01,-0.01,-0.10,-,-
Effective Tax Rate,32.52%,-,-,-,-,-,-
EBITDA,1.06,0.22,-0.28,-0.39,-0.42,0,-0.01
EBIT,1.06,0.22,-0.28,-0.39,-0.42,0,-0.01
