Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
"Selling, General & Admin",0.68,0.66,0.97,1.05,0.51,1.1,1.18,0.62,0.01
Operating Expenses,0.68,0.66,0.97,1.05,0.51,1.1,1.18,0.62,0.01
Operating Income,-0.68,-0.66,-0.97,-1.05,-0.51,-1.1,-1.18,-0.62,-0.01
Other Expense / Income,-4.45,-5.89,-6.4,-5.31,-13.9,-5.2,-17.21,6.5,-
Pretax Income,3.77,5.23,5.43,4.27,13.39,4.1,16.02,-7.12,-0.01
Net Income,3.77,5.23,5.43,4.27,13.39,4.1,16.02,-7.12,-0.01
Net Income Growth,-71.87%,27.31%,-66.13%,-,-,-,-,-,-
Shares Outstanding (Basic),72,72,72,72,72,72,72,36,13
Shares Outstanding (Diluted),72,72,72,72,72,72,72,37,13
Shares Change,-0.13%,-,-,95.65%,475.76%,-,-,-,-
EPS (Basic),0.05,0.07,0.08,0.06,0.20,0.06,0.22,-0.20,-
EPS (Diluted),0.05,0.07,0.08,0.06,0.20,0.06,0.22,-0.19,-
EPS Growth,-75.00%,16.67%,-63.64%,-,-,-,-,-,-
Free Cash Flow Per Share,-0.01,-0.00,-0.00,-0.01,-0.00,-0.01,-0.00,-0.10,-
EBITDA,3.77,5.23,5.43,4.27,13.39,4.1,16.02,-7.12,-0.01
EBIT,3.77,5.23,5.43,4.27,13.39,4.1,16.02,-7.12,-0.01
