Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
"Selling, General & Admin",1.83,1.45,3.41,2.63,1.09,3.83,2.98,1.21,0.1,0.02
Operating Expenses,1.83,1.45,3.41,2.63,1.09,3.83,2.98,1.21,0.1,0.02
Operating Income,-1.83,-1.45,-3.41,-2.63,-1.09,-3.83,-2.98,-1.21,-0.1,-0.02
Other Expense / Income,-1.7,-8.35,-2.44,-4.42,-2.1,-6.18,-1.45,3.64,2.4,-
Pretax Income,-0.13,6.91,-0.97,1.79,1.01,2.36,-1.54,-4.85,-2.5,-0.02
Net Income,-0.13,6.91,-0.97,1.79,1.01,2.36,-1.54,-4.85,-2.5,-0.02
Net Income Growth,-,193.16%,-,-,-,-,-,-,-,-
Shares Outstanding (Basic),25,35,35,35,35,34,35,32,13,6
Shares Outstanding (Diluted),25,35,35,35,35,34,35,32,13,6
Shares Change,-28.82%,1.90%,-,9.13%,159.77%,434.91%,-,-,-,-
EPS (Basic),-0.01,0.20,-0.03,0.05,0.03,0.10,-0.04,-0.15,-0.19,-
EPS (Diluted),-0.01,0.20,-0.03,0.05,0.03,0.10,-0.04,-0.15,-0.19,-
EPS Growth,-,100.00%,-,-,-,-,-,-,-,-
Free Cash Flow Per Share,0.13,-0.13,0.11,-0.00,-0.01,-0.03,-0.00,-0.06,-0.01,-0.00
EBITDA,-0.13,6.91,-0.97,1.79,1.01,2.36,-1.54,-4.85,-2.5,-0.02
EBIT,-0.13,6.91,-0.97,1.79,1.01,2.36,-1.54,-4.85,-2.5,-0.02
