Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
"Selling, General & Admin",0.47,0.82,0.34,0.19,0.1,0.31,0,0,0,0
Other Operating Expenses,0.05,0.04,0.04,0.16,0.05,0.12,0,0,0,0
Operating Expenses,0.52,0.86,0.38,0.36,0.15,0.43,0,0,0,0
Operating Income,-0.52,-0.86,-0.38,-0.36,-0.15,-0.43,-0,0,-0,-0
Other Expense / Income,-1.68,-2.54,-0.78,-3.58,-3.8,-4.25,-,-,-,-
Pretax Income,1.16,1.69,0.4,3.22,3.65,3.82,-0,0,-0,-0
Income Tax,0.62,0.55,0.2,0,0,0,0,0,0,0
Net Income,0.54,1.14,0.2,3.22,3.65,3.82,-0,0,-0,-0
Net Income Growth,-85.27%,-70.25%,-,-,-,-,-,-,-,-
Shares Outstanding (Basic),26,26,26,26,26,10,5,5,5,5
Shares Outstanding (Diluted),26,26,26,26,26,10,5,5,5,5
Shares Change,-,173.60%,478.45%,478.45%,478.45%,111.42%,-,-,-,-
EPS (Basic),0.02,0.05,0.01,0.12,0.14,0.40,-,-,-,-
EPS (Diluted),0.02,0.05,0.01,0.12,0.14,0.40,-,-,-,-
EPS Growth,-85.71%,-87.50%,-,-,-,-,-,-,-,-
Free Cash Flow Per Share,-0.01,-0.04,-0.01,-0.01,-0.01,-0.07,-,-,-,-
Effective Tax Rate,53.54%,32.80%,50.45%,-,-,-,-,-,-,-
EBITDA,1.16,1.69,0.4,3.22,3.65,3.82,-0,0,-0,-0
EBIT,1.16,1.69,0.4,3.22,3.65,3.82,-0,0,-0,-0
