Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
"Selling, General & Admin",0.29,0.23,0.17,0.19,0.23,0.02,0.01
Operating Expenses,0.29,0.23,0.17,0.19,0.23,0.02,0.01
Operating Income,-0.29,-0.23,-0.17,-0.19,-0.23,-0.02,-0.01
Other Expense / Income,-0.28,-0.81,-0.46,-0.12,-0.03,-,-
Pretax Income,-0.01,0.57,0.29,-0.07,-0.2,-0.02,-0.01
Net Income,-0.01,0.57,0.29,-0.07,-0.2,-0.02,-0.01
Shares Outstanding (Basic),5,11,11,11,9,2,2
Shares Outstanding (Diluted),5,11,11,11,9,-,2
Shares Change,-45.09%,422.11%,500.12%,-,-,-,-
EPS (Basic),-0.09,-0.01,-0.02,-0.02,-1.39,-0.01,-
EPS (Diluted),-0.09,-0.01,-0.02,-0.02,-1.39,-0.01,-
Free Cash Flow Per Share,-0.05,-0.01,-0.01,-0.01,-0.04,-0.00,-0.00
EBITDA,-0.01,0.57,0.29,-0.07,-0.2,-0.02,-0.01
EBIT,-0.01,0.57,0.29,-0.07,-0.2,-0.02,-0.01
