Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2016-12-31
Revenue,99.12,99.83,137.21,104.36,105.13,190.6,118.08,119.7,103.22,155.49,101.75,90.13,82.62,416.39,0,0,0,378.5,0,0,0,0,0,-
Revenue Growth (YoY),-5.72%,-47.62%,16.21%,-12.82%,1.85%,22.58%,16.05%,32.81%,24.94%,-62.66%,-,-,-,10.01%,-,-,-,-,-,-,-,-,-,-
Gross Profit,99.12,99.83,137.21,104.36,105.13,190.6,118.08,119.7,103.22,155.49,101.75,90.13,82.62,416.39,0,0,0,378.5,0,0,0,0,0,-
"Selling, General & Admin",112,86.05,108.48,84.52,87.16,123.82,93,97.49,107.89,228.54,92.58,71.91,80.07,331.43,0,0,0,303.37,0,0,0,0,0,-
Other Operating Expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.33,0.11,0.11,0.1,-0,0,0,0,0,0,0
Operating Expenses,112,86.05,108.48,84.52,87.16,123.82,93,97.49,107.89,228.54,92.58,71.91,80.07,331.1,0.11,0.11,0.1,303.37,0,0,0,0,0,-
Operating Income,-12.89,13.78,28.73,19.84,17.97,66.78,25.08,22.22,-4.67,-73.05,9.17,18.22,2.54,85.29,-0.11,-0.11,-0.1,75.13,0,0,-0,-0,0,-
Interest Expense / Income,6.66,6.64,5.8,5.59,5.28,5.6,5.43,4.56,4.49,5.93,5.81,5.84,5.87,25.68,0,0,0,26.47,0,0,0,0,0,-
Other Expense / Income,-18.73,0.27,17.05,4.63,5.62,39.95,13.14,14.8,-11.04,-85.82,2.82,11.85,-3.97,61.9,-1.61,-1.71,-1.62,47.26,-,-,-,-,-,-
Pretax Income,-0.81,6.87,5.89,9.62,7.06,21.23,6.51,2.86,1.88,6.85,0.54,0.53,0.64,-2.29,1.5,1.6,1.51,1.4,0,0,-0,-0,0,-
Income Tax,0.42,2.48,2.79,2.01,2.33,7,2.45,2.2,-0.66,2.8,0.54,0.53,0.64,1.35,-0.14,0.6,0.51,1.4,0,0,0,0,0,-
Net Income,-1.23,4.39,3.1,7.61,4.73,14.22,4.06,0.66,2.55,4.05,0,0,0,-3.64,1.64,1,1,0,0,0,-0,-0,0,-
Net Income Growth,-,-69.13%,-23.59%,1059.30%,85.55%,251.27%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shares Outstanding (Basic),42,42,44,45,45,44,44,45,42,40,34,36,36,36,28,36,36,32,6,6,6,6,6,6
Shares Outstanding (Diluted),187,187,188,189,190,192,189,189,189,-,-,-,-,-,-,-,-,-,6,-,-,-,6,-
Shares Change,-1.61%,-2.32%,-0.52%,0.29%,0.42%,379.76%,452.55%,427.00%,425.77%,11.30%,20.96%,-0.27%,0.83%,12.20%,352.13%,474.77%,470.05%,412.29%,-,-,-,-,-,-
EPS (Basic),-0.03,0.10,0.07,0.17,0.11,0.32,0.09,0.01,0.06,0.10,-,-,-,-0.14,0.06,0.04,0.04,-,-,-,-,-,-,-
EPS (Diluted),-0.10,0.05,0.02,0.13,0.08,0.25,0.03,-0.02,-0.05,-0.58,-,-,-,-0.14,0.06,0.04,0.04,-,-,-,-,-,-,-
EPS Growth,-,-80.00%,-33.33%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Free Cash Flow Per Share,-0.12,1.35,1.65,1.03,0.90,0.77,1.82,1.08,0.41,0.62,1.44,0.74,-0.94,2.58,-0.00,-0.00,-0.00,3.63,-,0.01,-0.01,-,-,-
Dividend Per Share,-,0.110,0.100,0.100,0.100,0.100,0.090,0.080,0.060,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Dividend Growth,-,10.00%,11.11%,25.00%,66.67%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,-,-,-,100.00%,-,-,-,-,-,-
Operating Margin,-13.00%,13.80%,20.94%,19.01%,17.09%,35.04%,21.24%,18.56%,-4.52%,-46.98%,9.01%,20.22%,3.08%,20.48%,-,-,-,19.85%,-,-,-,-,-,-
Profit Margin,-1.24%,4.40%,2.26%,7.29%,4.50%,7.46%,3.44%,0.55%,2.47%,2.60%,-,-,-,-0.87%,-,-,-,0.00%,-,-,-,-,-,-
Free Cash Flow Margin,-5.01%,57.30%,52.31%,44.65%,38.20%,17.75%,68.31%,40.11%,16.54%,16.01%,48.41%,29.46%,-40.97%,22.21%,-,-,-,30.69%,-,-,-,-,-,-
Effective Tax Rate,-,36.08%,47.37%,20.91%,33.05%,32.99%,37.66%,77.06%,-35.19%,40.85%,100.00%,100.00%,100.00%,-,-9.58%,37.38%,34.00%,99.97%,-,-,-,-,-,-
EBITDA,8.15,18.31,12.65,16.18,14.87,27.81,12.93,8.41,7.43,15.19,8.76,8.78,9.08,33.73,1.5,1.6,1.51,39.53,0,0,-0,-0,-,-
