Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31
Revenue,95.2,88.4,74,50,44.3,41,35.7,28.2,23.5,20.5,17.8,29.9,26.2,23.5,19,13.8,11,-
Revenue Growth (YoY),114.90%,115.61%,107.28%,77.30%,88.51%,100.00%,100.56%,-5.69%,-10.31%,-12.77%,-6.32%,116.67%,138.18%,-,-,-,-,-
Cost of Revenue,77.2,74.6,65.4,37.8,33.5,32.7,23.8,18.2,21.3,12.9,10.2,24.5,21.5,18.6,14.9,12.1,9.8,-
Gross Profit,18,13.8,8.6,12.2,10.8,8.3,11.9,10,2.2,7.6,7.6,5.4,4.7,4.9,4.1,1.7,1.2,-
"Selling, General & Admin",60.9,58.4,76.3,59.4,66.5,60.3,61.8,48.9,43.2,34.6,32.8,21.9,37.4,33.9,32.3,22.6,21.2,-
Research & Development,21.8,23.5,21.4,17.8,16.9,16.4,14.3,14,7.1,6.4,5.3,4.2,3.5,3.4,2.8,2.1,1.5,-
Operating Expenses,82.7,81.9,97.7,77.2,83.4,76.7,76.1,62.9,50.3,41,38.1,26.1,40.9,37.3,35.1,24.7,22.7,-
Operating Income,-64.7,-68.1,-89.1,-65,-72.6,-68.4,-64.2,-52.9,-48.1,-33.4,-30.5,-20.7,-36.2,-32.4,-31,-23,-21.5,-
Pretax Income,-64.7,-68.1,-89.1,-65,-72.6,-68.4,-64.2,-52.9,-48.1,-33.4,-30.5,-20.7,-36.2,-32.4,-31,-23,-21.5,-
Income Tax,1.1,-4.4,2.3,2.9,2.2,1.9,2.2,2.7,0.9,0.5,0.4,0.3,0.3,0.3,0.1,0.1,0.1,-
Net Income,-65.8,-63.7,-91.4,-67.9,-74.8,-70.3,-66.4,-55.6,-49,-33.9,-30.9,-21,-36.5,-32.7,-31.1,-23.1,-21.6,-
Shares Outstanding (Basic),69,69,67,62,62,62,62,61,60,34,54,12,12,11,11,11,11,11
Shares Outstanding (Diluted),69,69,67,62,62,62,62,61,60,34,54,12,12,11,11,11,11,-
Shares Change,12.38%,12.33%,8.60%,0.60%,2.46%,83.15%,14.04%,416.69%,421.73%,198.90%,383.03%,7.40%,5.08%,3.00%,-,-,-,-
EPS (Basic),-0.95,-0.90,-1.37,-1.10,-1.21,-1.14,-1.08,-0.90,-0.81,-0.22,-0.57,-1.77,-3.16,-2.91,-2.78,-2.09,-1.97,-
EPS (Diluted),-0.95,-0.90,-1.37,-1.10,-1.21,-1.14,-1.08,-0.90,-0.81,-0.22,-0.57,-1.77,-3.16,-2.91,-2.78,-2.09,-1.97,-
Free Cash Flow Per Share,-0.71,-0.45,-0.86,-0.68,-0.69,-0.84,-0.66,-0.31,-0.70,-0.65,-0.68,-1.44,-1.74,-1.54,-2.17,-1.64,-1.91,-
Gross Margin,18.91%,15.61%,11.62%,24.40%,24.38%,20.24%,33.33%,35.46%,9.36%,37.07%,42.70%,18.06%,17.94%,20.85%,21.58%,12.32%,10.91%,-
Operating Margin,-67.96%,-77.04%,-120.41%,-130.00%,-163.88%,-166.83%,-179.83%,-187.59%,-204.68%,-162.93%,-171.35%,-69.23%,-138.17%,-137.87%,-163.16%,-166.67%,-195.45%,-
Profit Margin,-69.12%,-72.06%,-123.51%,-135.80%,-168.85%,-171.46%,-185.99%,-197.16%,-208.51%,-165.37%,-173.60%,-70.23%,-139.31%,-139.15%,-163.68%,-167.39%,-196.36%,-
Free Cash Flow Margin,-51.58%,-35.29%,-77.84%,-84.00%,-95.49%,-126.59%,-114.57%,-67.02%,-180.00%,-107.32%,-207.30%,-57.19%,-76.72%,-74.04%,-127.89%,-131.16%,-190.91%,-
EBITDA,-59.6,-62.7,-85.4,-63.4,-71.1,-67.2,-63.4,-52.1,-47.2,-32.8,-30.1,-20.3,-35.9,-32.1,-30.8,-22.9,-21.5,-
EBITDA Margin,-62.61%,-70.93%,-115.41%,-126.80%,-160.50%,-163.90%,-177.59%,-184.75%,-200.85%,-160.00%,-169.10%,-67.89%,-137.02%,-136.60%,-162.11%,-165.94%,-195.45%,-
Depreciation & Amortization,5.1,5.4,3.7,1.6,1.5,1.2,0.8,0.8,0.9,0.6,0.4,0.4,0.3,0.3,0.2,0.1,0,-
EBIT,-64.7,-68.1,-89.1,-65,-72.6,-68.4,-64.2,-52.9,-48.1,-33.4,-30.5,-20.7,-36.2,-32.4,-31,-23,-21.5,-
EBIT Margin,-67.96%,-77.04%,-120.41%,-130.00%,-163.88%,-166.83%,-179.83%,-187.59%,-204.68%,-162.93%,-171.35%,-69.23%,-138.17%,-137.87%,-163.16%,-166.67%,-195.45%,-
