Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31
Revenue,57.96,57.4,57.69,53.02,41.28,40.23,41.68,38.17,31.23,34.65,32.02,29.92,20.43,13.8,21.17,19.39,23.13,14.72,16.05,14.79,14.59,11.14,10.81,10.88,9.89
Revenue Growth (YoY),40.40%,42.69%,38.40%,38.90%,32.18%,16.10%,30.19%,27.57%,52.89%,151.12%,51.24%,54.36%,-11.71%,-6.24%,31.86%,31.10%,58.56%,32.17%,48.55%,35.93%,47.50%,-,-,-,-
Cost of Revenue,36.88,33.82,36.33,31.66,31.48,25.12,26.08,22.48,21.31,20.06,17.9,15.9,13.5,10.73,11.41,10.38,9.19,8.61,8.96,33.86,6.84,6.92,7.19,5.58,4.87
Gross Profit,21.07,23.58,21.36,21.36,9.79,15.11,15.6,15.7,9.92,14.59,14.11,14.02,6.92,3.06,9.76,9.01,13.94,6.11,7.1,-19.07,7.75,4.22,3.62,5.3,5.02
"Selling, General & Admin",15.86,13.53,13.46,12.38,13.52,10.24,10.14,10.13,9.27,7.88,5.87,5.36,5.87,5.24,5.17,4.2,4.43,3.97,3.69,3.03,2.37,2.61,2.14,2.01,1.83
Other Operating Expenses,3.75,3.28,4.12,3.32,2.37,2.73,1.92,1.78,1.45,1.57,1.28,1.03,0.85,-0.02,0.92,0.93,0.82,0.74,0.75,0.66,0.62,0.49,0.6,0.48,0.39
Operating Expenses,19.6,16.81,17.57,15.7,15.9,12.97,12.06,11.91,10.72,9.44,7.15,6.4,6.72,5.23,6.08,5.14,5.25,4.71,4.45,3.68,2.99,3.1,2.74,2.49,2.22
Operating Income,1.47,6.78,3.79,5.67,-6.1,2.15,3.54,3.79,-0.8,5.15,6.97,7.63,0.2,-2.16,3.67,3.87,8.69,1.4,2.65,-22.75,4.76,1.12,0.88,2.81,2.8
Interest Expense / Income,1.73,1.59,1.41,1.11,0.88,0.95,0.76,0.55,0.6,0.65,0.58,0.48,0.6,0.53,0.61,0.63,0.63,0.67,1.63,0.97,1,0.74,0.67,0.53,0.53
Other Expense / Income,-0.1,2.08,1.06,2.05,-3.13,0.57,1.33,1.53,-0.71,2.13,3.45,4.01,-0.21,-1.71,1.77,1.91,4.85,0.51,0.62,-14.64,3.77,0.38,0.21,2.28,-
