Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31
Revenue,26.34,27.36,26.28,22.57,26.75,21.27,21.27,20.74,20.32,19.45,18.54,17.85,20.9,20.95,19.39,18.11,16.71,15.26,13.57,14.44,13.89,13.05,13.02,11.13,7.08,-
Revenue Growth (YoY),-1.52%,28.61%,23.52%,8.79%,31.61%,9.36%,14.74%,16.18%,-2.78%,-7.13%,-4.39%,-1.43%,25.10%,37.25%,42.88%,25.44%,20.32%,16.93%,4.26%,29.74%,96.21%,-,-,-,-,-
Gross Profit,26.34,27.36,26.28,22.57,26.75,21.27,21.27,20.74,20.32,19.45,18.54,17.85,20.9,20.95,19.39,18.11,16.71,15.26,13.57,14.44,13.89,13.05,13.02,11.13,7.08,-
"Selling, General & Admin",14.53,14.19,13.77,12.86,15.01,11.71,11.59,11.23,12.18,11.76,11.87,11.48,14.14,12.51,9.87,11.95,8,9.77,6.84,6.43,6.6,7.73,6.43,6.81,4.01,-
Other Operating Expenses,2,2.12,2.33,2.35,3.31,2.05,2.29,2.18,1.9,2.15,2.28,2.06,2.78,2.75,1.79,2.85,1.75,1.7,1.57,2.23,1.53,1.61,1.34,1.58,0.63,0
Operating Expenses,16.53,16.31,16.1,15.21,18.32,13.76,13.88,13.41,14.09,13.91,14.16,13.54,16.92,15.26,11.66,14.8,9.75,11.47,8.42,8.66,8.12,9.33,7.77,8.39,4.64,-
Operating Income,9.81,11.05,10.18,7.36,8.42,7.52,7.39,7.33,6.24,5.54,4.38,4.32,3.98,5.69,7.73,3.32,6.96,3.79,5.16,5.78,5.76,3.72,5.25,2.74,2.44,-
Pretax Income,9.81,11.05,10.18,7.36,8.42,7.52,7.39,7.33,6.24,5.54,4.38,4.32,3.98,5.69,7.73,3.32,6.96,3.79,5.16,5.78,5.76,3.72,5.25,2.74,2.44,-
Income Tax,2.76,3,2.95,2.14,1.94,2.08,1.98,2.03,1.7,1,1.14,1.2,1.17,1.1,2.17,1.09,2.02,1.17,1.64,1.5,1.69,4.56,2.07,1.24,1.02,-
Net Income,7.05,8.05,7.23,5.22,6.49,5.44,5.41,5.31,4.53,4.54,3.25,3.12,2.82,4.59,5.56,2.23,4.94,2.62,3.52,4.29,4.07,-0.84,3.18,1.5,1.42,-
