Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-07-15
"Selling, General & Admin",0.17,0.17,0.45,0.18,0.16,0.26,0.16,0.24,0.17,0.12,0.02,0.01
Other Operating Expenses,0,0.09,0,0,0,0.11,0,0,0.03,0.15,0,0
Operating Expenses,0.17,0.26,0.45,0.18,0.16,0.37,0.16,0.24,0.2,0.27,0.02,0.01
Operating Income,-0.17,-0.26,-0.45,-0.18,-0.16,-0.37,-0.16,-0.24,-0.2,-0.27,-0.02,-0.01
Other Expense / Income,-0.45,0.89,-5.81,-6.35,-22.27,-7.58,-15.17,-6.97,-21.98,40.12,-,-
Pretax Income,0.28,-1.15,5.36,6.17,22.12,7.22,15.01,6.73,21.78,-40.39,-0.02,-0.01
Net Income,0.28,-1.15,5.36,6.17,22.12,7.22,15.01,6.73,21.78,-40.39,-0.02,-0.01
Net Income Growth,-98.74%,-,-64.29%,-8.32%,1.54%,-,-,-,-,-,-,-
Shares Outstanding (Basic),23,61,71,76,76,76,76,76,76,36,14,14
Shares Outstanding (Diluted),23,61,71,76,76,76,76,76,76,36,14,14
Shares Change,-70.26%,-19.44%,-6.87%,-,-,108.69%,428.26%,428.26%,-,-,-,-
EPS (Basic),0.01,0.08,0.08,0.08,0.29,0.10,0.20,0.09,0.29,-1.11,-,-
EPS (Diluted),0.01,0.08,0.08,0.08,0.29,0.10,0.20,0.09,0.29,-1.11,-,-
EPS Growth,-96.55%,-20.00%,-60.00%,-11.11%,0%,-,-,-,-,-,-,-
Free Cash Flow Per Share,-0.01,-0.01,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.01,-0.00,-0.00,-0.00
EBITDA,0.28,-1.15,5.36,6.17,22.12,7.22,15.01,6.73,21.78,-40.39,-0.02,-0.01
EBIT,0.28,-1.15,5.36,6.17,22.12,7.22,15.01,6.73,21.78,-40.39,-0.02,-0.01
