Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2021-01-26
"Selling, General & Admin",1.62,1.47,0.97,1.42,3.6,0.25,0.22,0.02,0.01
Other Operating Expenses,0,0,0,0,0,0,0,0.87,0
Operating Expenses,1.62,1.47,0.97,1.42,3.6,0.25,0.22,0.89,0.01
Operating Income,-1.62,-1.47,-0.97,-1.42,-3.6,-0.25,-0.22,-0.89,-0.01
Other Expense / Income,-5.77,0.55,-14.34,-1.19,-2.08,5.18,-11.36,4,-
Pretax Income,4.15,-2.02,13.37,-0.23,-1.52,-5.43,11.14,-4.89,-0.01
Net Income,4.15,-2.02,13.37,-0.23,-1.52,-5.43,11.14,-4.89,-0.01
Net Income Growth,-,-,20.03%,-,-,-,-,-,-
Shares Outstanding (Basic),25,25,20,25,25,25,20,5,5
Shares Outstanding (Diluted),25,25,20,25,25,25,20,5,5
Shares Change,0.33%,-,-,411.36%,398.34%,-,-,-,-
EPS (Basic),0.16,-0.08,0.53,-0.01,-0.07,-0.22,0.45,-1.00,-
EPS (Diluted),0.16,-0.08,0.53,-0.01,-0.07,-0.22,0.45,-1.00,-
EPS Growth,-,-,17.78%,-,-,-,-,-,-
Free Cash Flow Per Share,-0.04,-0.01,-0.00,-0.02,-0.02,-0.01,-0.02,-0.00,-
EBITDA,4.15,-2.02,13.37,-0.23,-1.52,-5.43,11.14,-4.89,-0.01
EBIT,4.15,-2.02,13.37,-0.23,-1.52,-5.43,11.14,-4.89,-0.01
