Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-04-21
"Selling, General & Admin",0.51,0.76,-0.36,0.36,0.47,0.09,-0,0
Operating Expenses,0.51,0.76,-0.36,0.36,0.47,0.09,-0,0
Operating Income,-0.51,-0.76,0.36,-0.36,-0.47,-0.09,0,-0
Other Expense / Income,-1.24,-0.28,-1.6,-4.34,-7.48,1.02,0,-
Pretax Income,0.74,-0.48,1.96,3.98,7.01,-1.1,-0,-0
Income Tax,0.16,0.09,0,0,0,0,0,0
Net Income,0.57,-0.57,1.96,3.98,7.01,-1.1,-0,-0
Net Income Growth,-91.85%,-,-,-,-,-,-,-
Shares Outstanding (Basic),5,16,16,16,8,7,3,3
Shares Outstanding (Diluted),5,16,16,16,8,7,3,3
Shares Change,-33.17%,117.33%,480.75%,538.83%,-,-,-,-
EPS (Basic),0.84,-0.04,0.12,0.25,1.07,-0.15,-,-
EPS (Diluted),0.84,-0.04,0.12,0.25,1.07,-0.15,-,-
EPS Growth,-21.50%,-,-,-,-,-,-,-
Free Cash Flow Per Share,0.07,-0.02,-0.01,-0.03,-0.02,-0.10,-,-
Effective Tax Rate,22.41%,-,-,-,-,-,-,-
EBITDA,0.74,-0.48,1.96,3.98,7.01,-1.1,-0,-0
EBIT,0.74,-0.48,1.96,3.98,7.01,-1.1,-0,-0
