Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Revenue,20.47,7.42,33.27,29.59,28.23,35.15,26.52,26.2,24.79,-,0,10.2,13.07
Revenue Growth (YoY),-27.51%,-78.89%,25.43%,12.93%,13.89%,-,-,156.92%,89.60%,-,-,-,-
Cost of Revenue,18.3,10.47,5.62,5.77,5.23,5.03,4.84,5.34,4.85,-,0,2.3,2.95
Gross Profit,2.16,-3.05,27.65,23.82,23,30.12,21.68,20.87,19.93,-,0,7.9,10.13
"Selling, General & Admin",12.5,9.35,4.5,4.55,6.47,4.09,3.33,1.2,1.92,-,0,0.54,1.28
Other Operating Expenses,26.83,89,448.65,29.86,38.14,262.31,55.08,10.87,10.87,0,0,8.61,8.46
Operating Expenses,39.33,98.34,453.15,34.4,44.61,266.4,58.41,12.07,12.78,-,0,9.15,9.74
Operating Income,-37.16,-101.4,-425.5,-10.59,-21.61,-236.28,-36.73,8.8,7.15,-,-0,-1.25,0.39
Interest Expense / Income,0.38,0.47,0.38,0.3,0.26,0.26,0.29,0.32,0.26,-,0,0.17,0.16
Other Expense / Income,-14.61,-34.37,-154.52,-13.35,-5.49,-90.49,-20.01,3.24,4.24,-,-,-0.27,-0.23
Pretax Income,-22.93,-67.5,-271.36,2.47,-16.38,-146.05,-17.01,5.24,2.66,-,-0,-1.15,0.45
Income Tax,0.02,-25.57,-7.3,-1.65,-2.4,2.18,-5.68,0,0,-,0,0,0
Net Income,-22.95,-41.93,-264.06,4.12,-13.97,-148.23,-11.32,5.24,2.66,-,-0,-1.15,0.45
Net Income Growth,-,-,-,-21.50%,-,-,-,-,487.20%,-,-,-,-
Shares Outstanding (Basic),85,83,83,85,85,85,85,132,43,42,6,-,-
Shares Outstanding (Diluted),85,131,83,85,85,85,131,-,-,-,6,-,-
Shares Change,0.38%,53.99%,-36.65%,-36.06%,96.64%,100.70%,1997.42%,-,-,-,-,-,-
EPS (Basic),-0.27,-0.51,-3.16,0.05,-0.16,-1.74,-0.13,-,-,-,-,-,-
EPS (Diluted),-0.27,-0.64,-3.16,0.05,-0.16,-1.72,-0.15,-,-,-,-,-,-
Free Cash Flow Per Share,0.50,-0.23,0.12,0.03,-0.26,0.32,-0.57,0.05,0.23,-,-,-,-
Gross Margin,10.57%,-41.16%,83.11%,80.49%,81.48%,85.69%,81.75%,79.63%,80.42%,-,-,77.45%,77.46%
Operating Margin,-181.60%,-1366.55%,-1279.13%,-35.78%,-76.54%,-672.13%,-138.50%,33.57%,28.85%,-,-,-12.26%,2.95%
Profit Margin,-112.13%,-565.08%,-793.82%,13.91%,-49.50%,-421.67%,-42.70%,20.01%,10.73%,-,-,-11.31%,3.47%
Free Cash Flow Margin,209.80%,-254.78%,30.69%,8.48%,-77.13%,76.21%,-183.98%,23.85%,39.50%,-,-,-90.02%,-20.27%
Effective Tax Rate,-,-,-,-66.91%,-,-,-,-,-,-,-,-,-
EBITDA,-14.03,-58.35,-262.42,12.46,6.33,-122.94,3.83,6.42,3.75,-,-0,-0.14,1.44
EBITDA Margin,-68.56%,-786.33%,-788.87%,42.10%,22.43%,-349.72%,14.42%,24.51%,15.13%,-,-,-1.35%,11.03%
Depreciation & Amortization,8.52,8.68,8.57,9.69,22.45,22.85,20.54,0.86,0.84,-,0,0.85,0.83
EBIT,-22.55,-67.03,-270.99,2.76,-16.12,-145.79,-16.72,5.56,2.92,-,-0,-0.99,0.61
EBIT Margin,-110.19%,-903.33%,-814.63%,9.33%,-57.08%,-414.72%,-63.03%,21.22%,11.76%,-,-,-9.66%,4.68%
