Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30
Revenue,106.04,109.15,106.56,85.86,88.14,97.28,87.35,79.01,80.38,74.88,65.53,68.08,39,73.5,69.63,74.14,76.39,30.95,28.63,28.71,31.21,25.52,20.35,13.2,11.9,11.9,12.17,11.11,10.22,9.61,9.66,7.51,7.51,7.16,6.91,6.34,6,5.72,5.49
Revenue Growth (YoY),20.30%,12.20%,21.99%,8.67%,9.66%,29.92%,33.31%,16.06%,106.12%,1.87%,-5.89%,-8.18%,-48.95%,137.49%,143.21%,158.22%,144.80%,21.28%,40.66%,117.53%,162.27%,114.37%,67.22%,18.77%,16.44%,23.88%,26.00%,47.94%,36.00%,34.19%,39.76%,18.58%,25.13%,25.28%,25.83%,-,-,-,-
Gross Profit,106.04,109.15,106.56,85.86,88.14,97.28,87.35,79.01,80.38,74.88,65.53,68.08,39,73.5,69.63,74.14,76.39,30.95,28.63,28.71,31.21,25.52,20.35,13.2,11.9,11.9,12.17,11.11,10.22,9.61,9.66,7.51,7.51,7.16,6.91,6.34,6,5.72,5.49
"Selling, General & Admin",39.1,41.01,36.56,34.08,33.6,31.62,29.03,29.86,28.27,25.41,25.94,24.88,24.55,24.55,22.64,23.06,24.03,11.36,10.83,10.66,12.05,6.06,10.16,6.18,6.06,5.93,6.02,5.3,4.95,4.71,4.82,3.98,4.32,3.88,4.09,3.43,3.59,4.23,3.09
Other Operating Expenses,17.52,16.35,14.43,14.08,12.97,13.46,12.29,11.86,11.32,10.65,10.47,15.18,11,11.73,11.99,16.84,42.97,6.18,7.42,5.51,5.26,8.97,2.37,1.61,1.39,1.16,1.01,1,1.03,1.03,1.02,0.75,0.77,0.8,0.74,1.03,0.94,-0.02,0.96
Operating Expenses,56.62,57.36,50.99,48.15,46.57,45.08,41.32,41.72,39.6,36.07,36.41,40.06,35.55,36.28,34.63,39.9,66.99,17.54,18.25,16.17,17.31,15.04,12.52,7.78,7.45,7.09,7.03,6.3,5.98,5.73,5.84,4.73,5.08,4.68,4.83,4.46,4.53,4.21,4.05
Operating Income,49.42,51.79,55.57,37.71,41.57,52.2,46.03,37.29,40.78,38.81,29.12,28.02,3.45,37.22,35,34.25,9.4,13.41,10.38,12.54,13.9,10.48,7.83,5.42,4.45,4.82,5.14,4.81,4.24,3.88,3.82,2.78,2.43,2.48,2.08,1.88,1.47,1.51,1.44
Other Expense / Income,-,-,-,-,-,-,-,-,-,11.31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Pretax Income,49.42,51.79,55.57,37.71,41.57,52.2,46.03,37.29,40.78,27.5,29.12,28.02,3.45,37.22,35,34.25,9.4,13.41,10.38,12.54,13.9,10.48,7.83,5.42,4.45,4.82,5.14,4.81,4.24,3.88,3.82,2.78,2.43,2.48,2.08,1.88,1.47,1.51,1.44
Income Tax,11.01,11.89,12.25,8.08,8.1,10.7,9.2,7.84,8.99,4.7,6.2,3.99,-0.68,8.17,7.6,7.37,1.99,3.59,1.45,2.35,3.51,7.23,2.65,1.8,1.35,1.63,1.77,1.64,1.43,1.3,1.28,0.93,0.61,0.79,0.72,0.68,0.51,0.51,0.49
