Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Revenue,3,3.63,2.78,2.44,2.23,2.35,2.21,2.05,1.75,1.63,1.79,1.63,1.5
Revenue Growth (YoY),34.41%,54.12%,25.81%,18.70%,27.47%,44.51%,23.92%,25.95%,17.12%,-,-,-,-
Gross Profit,3,3.63,2.78,2.44,2.23,2.35,2.21,2.05,1.75,1.63,1.79,1.63,1.5
"Selling, General & Admin",1.91,1.58,1.74,1.56,1.46,1.59,1.54,1.35,1.39,1.77,1.43,1.23,1.26
Other Operating Expenses,0.55,0.64,0.53,0.45,0.48,0.46,0.41,0.36,0.31,0.56,0.28,0.33,0.23
Operating Expenses,2.47,2.22,2.27,2.01,1.93,2.05,1.96,1.71,1.7,2.33,1.71,1.57,1.49
Operating Income,0.54,1.41,0.51,0.43,0.3,0.3,0.26,0.34,0.06,-0.7,0.08,0.07,0
Pretax Income,0.54,1.41,0.51,0.43,0.3,0.3,0.26,0.34,0.06,-0.7,0.08,0.07,0
Income Tax,0.13,0.3,0.1,0.08,0.06,0.06,0.05,0.06,0,-0.15,0.01,0.01,-0.01
Net Income,0.41,1.11,0.41,0.35,0.25,0.25,0.21,0.28,0.05,-0.55,0.07,0.06,0.01
Net Income Growth,66.94%,352.24%,97.14%,24.37%,380.39%,-,223.08%,381.03%,466.67%,-,-,-,-
Shares Outstanding (Basic),3,3,3,3,3,3,3,2,2,2,-,-,-
Shares Change,1.16%,-1.36%,-,15.00%,15.00%,15.00%,-,-,-,-,-,-,-
EPS (Basic),0.16,0.43,0.16,0.14,0.10,0.10,0.08,-,-,-,-,-,-
EPS (Diluted),0.16,0.43,0.16,0.14,0.10,0.10,0.08,-,-,-,-,-,-
EPS Growth,60.00%,330.00%,100.00%,-,-,-,-,-,-,-,-,-,-
Free Cash Flow Per Share,0.07,0.86,0.64,0.02,-0.01,0.14,0.37,0.18,-0.20,0.01,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,17.83%,38.73%,18.40%,17.56%,13.44%,12.79%,11.62%,16.66%,3.14%,-42.91%,4.20%,3.99%,0.27%
Profit Margin,13.63%,30.54%,14.88%,14.24%,10.98%,10.41%,9.49%,13.59%,2.91%,-33.58%,3.64%,3.56%,0.60%
Free Cash Flow Margin,7.00%,65.08%,64.28%,2.34%,-1.57%,16.95%,46.43%,21.72%,-28.21%,1.90%,-39.94%,-4.23%,17.73%
Effective Tax Rate,23.55%,21.14%,19.14%,18.93%,18.33%,18.60%,18.29%,18.42%,7.27%,-,13.33%,10.77%,-125.00%
EBITDA,0.61,1.47,0.59,0.5,0.37,0.3,0.31,0.4,0.11,-0.64,0.13,0.11,0.05
EBITDA Margin,20.30%,40.60%,21.02%,20.56%,16.76%,12.79%,14.15%,19.63%,6.28%,-39.53%,7.11%,6.99%,3.55%
Depreciation & Amortization,0.07,0.07,0.07,0.07,0.07,0,0.06,0.06,0.06,0.06,0.05,0.05,0.05
EBIT,0.54,1.41,0.51,0.43,0.3,0.3,0.26,0.34,0.06,-0.7,0.08,0.07,0
EBIT Margin,17.83%,38.73%,18.40%,17.56%,13.44%,12.79%,11.62%,16.66%,3.14%,-42.91%,4.20%,3.99%,0.27%
