Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.36,0.34,0.38,0.56,0.28,0.22,0.23,0
Other Operating Expenses,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04
Operating Expenses,0.41,0.39,0.43,0.61,0.33,0.27,0.28,0.04
Operating Income,-0.41,-0.39,-0.43,-0.61,-0.33,-0.27,-0.28,-0.04
Other Expense / Income,-1.57,-1.72,-1.01,-0.14,-0.03,-0.02,-0.01,-
Pretax Income,1.15,1.34,0.58,-0.47,-0.3,-0.26,-0.27,-0.04
Income Tax,0.33,0.35,0.19,0,0,0,0,0
Net Income,0.83,0.98,0.39,-0.47,-0.3,-0.26,-0.27,-0.04
Shares Outstanding (Basic),26,26,26,26,26,17,19,3
Shares Outstanding (Diluted),26,26,26,26,26,17,19,3
Shares Change,-,52.93%,34.01%,712.25%,-,-,-,-
EPS (Basic),0.03,0.04,0.02,-0.02,-0.01,-0.01,-0.01,-
EPS (Diluted),0.03,0.04,0.02,-0.02,-0.01,-0.01,-0.01,-
Free Cash Flow Per Share,-0.01,-0.01,-0.01,-0.02,-0.01,-0.01,-0.05,-
Effective Tax Rate,28.49%,26.29%,33.19%,-,-,-,-,-
EBITDA,1.15,1.34,0.58,-0.47,-0.3,-0.26,-0.27,-0.04
EBIT,1.15,1.34,0.58,-0.47,-0.3,-0.26,-0.27,-0.04
