Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
"Selling, General & Admin",0.54,0.42,0.41,0.35,0.45,-
Operating Expenses,0.54,0.42,0.41,0.35,0.45,-
Operating Income,-0.54,-0.42,-0.41,-0.35,-0.45,-
Other Expense / Income,-8.55,-5.72,-5.7,-2.4,-10.32,-
Pretax Income,8.01,5.29,5.29,2.05,9.88,-
Net Income,8.01,5.29,5.29,2.05,9.88,-
Net Income Growth,-18.91%,-,-,-,-,-
Shares Outstanding (Basic),94,94,94,94,86,19
Shares Outstanding (Diluted),94,94,94,94,86,-
Shares Change,8.70%,400.55%,-,-,-,-
EPS (Basic),0.09,0.05,0.06,0.02,0.11,-
EPS (Diluted),0.09,0.05,0.06,0.02,0.11,-
EPS Growth,-18.18%,-,-,-,-,-
Free Cash Flow Per Share,-0.00,-0.00,-0.01,-0.01,-0.01,-
EBITDA,8.01,5.29,5.29,2.05,9.88,-
EBIT,8.01,5.29,5.29,2.05,9.88,-
