Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Revenue,12.45,13.6,15.03,13.06,13.82,13.86,11.93,11.08,11.07,10.23,10.24,9.52,7.77
Revenue Growth (YoY),-9.91%,-1.90%,26.00%,17.88%,24.79%,35.49%,16.53%,16.42%,42.47%,-,-,-,-
Gross Profit,12.45,13.6,15.03,13.06,13.82,13.86,11.93,11.08,11.07,10.23,10.24,9.52,7.77
"Selling, General & Admin",11.5,10.92,11.04,10.79,10.94,11.4,10.3,10.95,10.35,8.95,9.8,8.53,8.44
Other Operating Expenses,2.16,1.95,2.63,2.23,2.28,5.23,21.41,0.85,2.02,4.42,3.21,18.44,15.35
Operating Expenses,13.66,12.87,13.67,13.02,13.22,16.63,31.72,11.8,12.37,13.37,13,26.97,23.79
Operating Income,-1.21,0.73,1.36,0.04,0.6,-2.77,-19.79,-0.72,-1.3,-3.14,-2.76,-17.45,-16.02
Other Expense / Income,-,-,-,-,-,0.75,1.4,-,-,-,-,-,-
Pretax Income,-1.21,0.73,1.36,0.04,0.6,-3.52,-21.19,-0.72,-1.3,-3.14,-2.76,-17.45,-16.02
Income Tax,0,0.16,0.12,0,0.05,16.1,-6.22,0.28,-0.55,-1.38,-1.1,-0.71,-4.69
Net Income,-1.21,0.56,1.24,0.04,0.55,-19.62,-14.97,-1,-0.75,-1.76,-1.67,-16.74,-11.33
Shares Outstanding (Basic),25,26,26,26,26,12,22,22,22,22,-,-,-
Shares Outstanding (Diluted),25,26,26,26,26,-,22,-,-,-,-,-,-
Shares Change,-3.68%,114.68%,19.41%,21.22%,21.12%,-44.04%,-,-,-,-,-,-,-
EPS (Basic),-0.05,0.02,0.05,-,0.02,-,-0.68,-,-,-,-,-,-
EPS (Diluted),-0.05,0.02,0.05,-,0.02,-,-0.68,-,-,-,-,-,-
Free Cash Flow Per Share,-0.24,0.03,0.11,-0.20,-0.04,-1.04,-0.11,-0.42,-0.08,-0.15,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,-9.71%,5.33%,9.07%,0.33%,4.36%,-19.97%,-165.84%,-6.50%,-11.70%,-30.69%,-26.99%,-183.34%,-206.11%
Profit Margin,-9.71%,4.13%,8.26%,0.31%,4.00%,-141.60%,-125.47%,-9.05%,-6.73%,-17.23%,-16.26%,-175.92%,-145.83%
Free Cash Flow Margin,-49.00%,5.80%,19.34%,-40.42%,-7.25%,-91.48%,-20.87%,-82.38%,-15.79%,-31.50%,-12.50%,-35.95%,-7.99%
Effective Tax Rate,-,22.48%,9.02%,6.98%,8.14%,-,-,-,-,-,-,-,-
EBITDA,-0.55,1.41,2.06,0.69,1.24,-2.82,-20.57,-0.29,-0.7,-2.63,-2.38,-16.94,-15.51
EBITDA Margin,-4.39%,10.40%,13.68%,5.28%,8.94%,-20.33%,-172.42%,-2.64%,-6.29%,-25.66%,-23.22%,-177.95%,-199.51%
Depreciation & Amortization,0.66,0.69,0.69,0.65,0.63,0.7,0.62,0.43,0.6,0.51,0.39,0.51,0.51
EBIT,-1.21,0.73,1.36,0.04,0.6,-3.52,-21.19,-0.72,-1.3,-3.14,-2.76,-17.45,-16.02
EBIT Margin,-9.71%,5.33%,9.07%,0.33%,4.36%,-25.41%,-177.58%,-6.50%,-11.70%,-30.69%,-26.99%,-183.34%,-206.11%
