Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Revenue,15.81,18.05,18.14,17.42,18.33,17.16,16.17,16.82,14.38
Revenue Growth (YoY),-13.75%,5.19%,12.22%,3.56%,27.46%,-,-,-,-
Gross Profit,15.81,18.05,18.14,17.42,18.33,17.16,16.17,16.82,14.38
"Selling, General & Admin",5.68,5.23,5.86,5.48,6.85,5.61,5.83,6.57,5.82
Other Operating Expenses,2.09,2.22,2.1,2.2,1.94,2.07,1.79,2.5,2.08
Operating Expenses,7.77,7.45,7.96,7.68,8.79,7.68,7.62,9.07,7.89
Operating Income,8.04,10.6,10.18,9.74,9.54,9.48,8.54,7.75,6.49
Pretax Income,8.04,10.6,10.18,9.74,9.54,9.48,8.54,7.75,6.49
Income Tax,1.74,2.4,2.14,1.85,1.87,1.93,1.78,1.67,1.41
Net Income,6.3,8.2,8.05,7.88,7.67,7.55,6.76,6.08,5.07
Net Income Growth,-17.85%,8.68%,18.99%,29.66%,51.24%,-,-,-,-
Shares Outstanding (Basic),14,14,14,14,14,14,-,-,-
Shares Change,3.78%,3.45%,-,-,-,-,-,-,-
EPS (Basic),0.45,0.58,0.57,0.56,0.55,0.56,0.50,0.45,0.37
EPS (Diluted),0.44,0.58,0.57,0.56,0.55,0.54,0.48,0.44,0.37
EPS Growth,-20.00%,7.41%,18.75%,27.27%,48.65%,-,-,-,-
Free Cash Flow Per Share,0.40,0.57,0.61,0.49,0.70,0.71,-,-,-
Dividend Per Share,-,-,-,0.200,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,50.85%,58.73%,56.13%,55.90%,52.07%,55.24%,52.85%,46.09%,45.12%
Profit Margin,39.88%,45.45%,44.34%,45.25%,41.87%,43.99%,41.82%,36.15%,35.28%
Free Cash Flow Margin,35.81%,44.20%,47.16%,39.70%,52.11%,56.37%,52.94%,30.82%,59.95%
Effective Tax Rate,21.58%,22.62%,21.00%,19.04%,19.59%,20.37%,20.86%,21.57%,21.79%
EBITDA,8.49,11.05,10.66,10.22,10.04,9.99,9.11,8.37,7.01
EBITDA Margin,53.70%,61.24%,58.76%,58.70%,54.79%,58.24%,56.38%,49.79%,48.74%
Depreciation & Amortization,0.45,0.45,0.48,0.49,0.5,0.52,0.57,0.62,0.52
EBIT,8.04,10.6,10.18,9.74,9.54,9.48,8.54,7.75,6.49
EBIT Margin,50.85%,58.73%,56.13%,55.90%,52.07%,55.24%,52.85%,46.09%,45.12%
