Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
"Selling, General & Admin",0.43,0.48,0.22,0.29,0.25,0.27,0.05,0.01,0,-
Other Operating Expenses,0.05,0.05,0.05,0.05,0.05,0.03,0,0,0,0
Operating Expenses,0.48,0.53,0.27,0.34,0.31,0.3,0.05,0.01,0,-
Operating Income,-0.48,-0.53,-0.27,-0.34,-0.31,-0.3,-0.05,-0.01,0,-
Other Expense / Income,-0.31,-1.01,-0.62,-0.16,-0.02,-0.01,-,-0,-0,-
Pretax Income,-0.17,0.48,0.35,-0.19,-0.29,-0.3,-0.05,-0.01,0,-
Income Tax,0.08,0.13,0.2,0.01,0,-0.01,0,0,0,-
Net Income,-0.25,0.35,0.16,-0.2,-0.29,-0.29,-0.05,-0.01,0,-
Shares Outstanding (Basic),6,3,16,16,16,3,3,3,3,3
Shares Outstanding (Diluted),6,3,16,16,16,3,3,3,3,-
Shares Change,-64.32%,12.37%,400.00%,400.00%,400.00%,12.58%,-,-,-,-
EPS (Basic),-0.04,0.02,0.01,-0.01,-0.02,-0.05,-0.02,-,-,-
EPS (Diluted),-0.04,0.02,0.01,-0.01,-0.02,-0.05,-0.02,-,-,-
Free Cash Flow Per Share,-0.08,-0.06,-0.01,-0.01,-0.01,-0.33,-0.01,-,-,-
Effective Tax Rate,-,26.48%,55.18%,-,-,-,-,-,-,-
EBITDA,-0.17,0.48,0.35,-0.19,-0.29,-0.3,-0.05,-0.01,0,-
EBIT,-0.17,0.48,0.35,-0.19,-0.29,-0.3,-0.05,-0.01,0,-
