Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
"Selling, General & Admin",1.24,1.29,1.49,2.09,0.42,0.35,0.24,0.21,0.18,0
Other Operating Expenses,0.02,-0.08,0.05,0.05,0.06,0.05,0.05,0.05,0.05,0
Operating Expenses,1.26,1.22,1.54,2.14,0.48,0.4,0.29,0.25,0.23,0
Operating Income,-1.26,-1.22,-1.54,-2.14,-0.48,-0.4,-0.29,-0.25,-0.23,-0
Interest Expense / Income,0.02,0.02,0.02,0.01,0,0,0,0,0,0
Other Expense / Income,0.26,-5.25,-0.4,-4.11,-6.32,-0.01,-3.81,-2.21,2.31,-
Pretax Income,-1.54,4.02,-1.16,1.96,5.84,-0.39,3.52,1.95,-2.53,-0
Income Tax,0.02,0.53,0.38,0.04,0,0,0,0,0,0
Net Income,-1.56,3.49,-1.54,1.92,5.84,-0.39,3.52,1.95,-2.53,-0
Net Income Growth,-,-,-,-1.76%,-,-,-,-,-,-
Shares Outstanding (Basic),10,42,43,43,43,39,43,43,25,8
Shares Outstanding (Diluted),10,42,43,43,43,39,43,43,25,8
Shares Change,-76.17%,8.69%,-,-,75.87%,415.77%,-,-,-,-
EPS (Basic),-0.15,0.09,-0.04,0.04,0.14,-,0.08,0.05,-0.10,-
EPS (Diluted),-0.15,0.09,-0.04,0.04,0.14,-,0.08,0.05,-0.10,-
EPS Growth,-,-,-,-20.00%,-,-,-,-,-,-
Free Cash Flow Per Share,-0.13,-0.00,-0.01,-0.00,-0.01,-0.01,-0.00,-0.00,-0.04,-
Effective Tax Rate,-,13.12%,-,2.27%,-,-,-,-,-,-
EBITDA,-1.52,4.04,-1.14,1.97,5.84,-0.39,3.52,1.95,-2.53,-0
EBIT,-1.52,4.04,-1.14,1.97,5.84,-0.39,3.52,1.95,-2.53,-0
