Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30
Revenue,330.45,246.04,259.37,232.46,242.85,159.2,135.56,119.71,152.83,69.65,65.84,51.27,54.16,36.56,38.38,33.06,29.84,20.86,18.54
Revenue Growth (YoY),36.07%,54.55%,91.34%,94.19%,58.90%,128.57%,105.88%,133.49%,182.18%,90.50%,71.54%,55.08%,81.52%,75.30%,107.04%,-,-,-,-
Gross Profit,330.45,246.04,259.37,232.46,242.85,159.2,135.56,119.71,152.83,69.65,65.84,51.27,54.16,36.56,38.38,33.06,29.84,20.86,18.54
"Selling, General & Admin",230.95,196.93,195.92,172.85,153.75,121.53,100.08,89.07,89.38,51.83,48.47,39.26,34.55,29.89,26.79,23.99,16.29,4.46,16
Other Operating Expenses,71.12,72.42,71.61,61.05,54.99,53.5,41.32,30.85,28.01,23.76,17.59,14.24,12.65,11.16,9.59,9.37,5.01,15.29,0.85
Operating Expenses,302.07,269.35,267.53,233.89,208.74,175.02,141.4,119.92,117.38,75.59,66.06,53.5,47.19,41.05,36.37,33.37,21.29,19.75,16.85
Operating Income,28.38,-23.3,-8.16,-1.43,34.11,-15.82,-5.84,-0.21,35.45,-5.94,-0.22,-2.23,6.97,-4.49,2.01,-0.31,8.55,1.11,1.69
Interest Expense / Income,27.88,25.32,20.77,14.63,10.35,8.47,6.94,5.85,5.64,5.3,0.92,1.05,0.59,1.64,3.79,3.62,1.59,1.61,1.29
Other Expense / Income,14.55,-0.85,-4.13,-24.71,0.89,-1.66,0.43,4.03,14.5,-0.92,2.13,0.31,4.9,2.5,-1.78,-3.93,6.96,3.67,0.35
Pretax Income,-14.05,-47.78,-24.79,8.64,22.87,-22.63,-13.21,-10.09,15.31,-10.33,-3.27,-3.59,1.48,-8.63,0,0,0,-4.18,0.05
Income Tax,0.08,0.72,0,0,0,0.02,0,0,0,-0.02,0,0,0.01,0.02,0,0,0,0,0
Net Income,-14.13,-48.49,-24.79,8.64,22.87,-22.65,-13.21,-10.09,15.31,-10.31,-3.27,-3.59,1.47,-8.65,0,0,0,-4.18,0.05
Net Income Growth,-,-,-,-,49.41%,-,-,-,942.64%,-,-,-,-,-,-,-,-,-,-
Shares Outstanding (Basic),59,58,57,56,56,55,46,45,44,27,33,20,19,18,60,60,60,60,-
Shares Outstanding (Diluted),59,48,57,60,59,55,46,45,46,27,33,20,20,-,-,-,-,-,-
Shares Change,-0.01%,-13.36%,23.33%,34.00%,28.25%,102.22%,40.33%,118.70%,131.04%,51.68%,-44.45%,-65.72%,-66.74%,-69.93%,-,-,-,-,-
EPS (Basic),-0.24,-0.86,-0.43,0.15,0.41,-0.46,-0.28,-0.23,0.35,-0.36,-0.10,-0.18,0.08,-,-,-,-,-,-
EPS (Diluted),-0.24,-0.85,-0.43,0.14,0.39,-0.46,-0.28,-0.23,0.33,-0.36,-0.10,-0.18,0.07,-,-,-,-,-,-
EPS Growth,-,-,-,-,18.18%,-,-,-,371.43%,-,-,-,-,-,-,-,-,-,-
Free Cash Flow Per Share,-0.30,0.13,-0.33,-0.14,-0.09,0.20,-0.51,1.02,0.05,0.17,-0.43,1.79,0.23,-0.16,0.08,0.06,0.07,0.03,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,8.59%,-9.47%,-3.15%,-0.62%,14.04%,-9.94%,-4.31%,-0.18%,23.19%,-8.53%,-0.33%,-4.35%,12.86%,-12.27%,5.23%,-0.93%,28.64%,5.30%,9.13%
Profit Margin,-4.28%,-19.71%,-9.56%,3.72%,9.42%,-14.23%,-9.75%,-8.43%,10.02%,-14.80%,-4.96%,-7.00%,2.71%,-23.66%,-,-,-,-20.02%,0.28%
Free Cash Flow Margin,-5.30%,3.09%,-7.27%,-3.43%,-2.15%,6.88%,-17.56%,37.91%,1.50%,6.77%,-21.85%,71.46%,8.10%,-7.68%,13.08%,10.99%,14.91%,7.94%,10.22%
Effective Tax Rate,-,-,-,-,-,-,-,-,-,-,-,-,0.81%,-,-,-,-,-,-
EBITDA,38.34,0.69,20.37,43.55,51.77,1.55,7.08,7.07,32.08,1.25,3.1,2.15,5.83,-3.7,7.05,6.61,2.59,-1.65,2.19
EBITDA Margin,11.60%,0.28%,7.85%,18.73%,21.32%,0.98%,5.22%,5.91%,20.99%,1.80%,4.70%,4.19%,10.76%,-10.11%,18.37%,19.98%,8.69%,-7.92%,11.83%
Depreciation & Amortization,24.51,23.14,24.4,20.28,18.55,15.71,13.35,11.32,11.13,6.27,5.44,4.69,3.76,3.3,3.27,2.98,1,0.91,0.85
EBIT,13.83,-22.45,-4.03,23.27,33.22,-14.16,-6.27,-4.25,20.95,-5.02,-2.35,-2.54,2.07,-6.99,3.79,3.62,1.59,-2.56,1.34
EBIT Margin,4.19%,-9.12%,-1.55%,10.01%,13.68%,-8.89%,-4.63%,-3.55%,13.71%,-7.21%,-3.56%,-4.96%,3.81%,-19.12%,9.86%,10.96%,5.33%,-12.29%,7.25%
