Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31
Revenue,34.45,39.46,39.75,39.6,37.07,35.75,35.9,33.6,33.88,30.36,26.12,24.23,26.26,28.29,25.49,29.46,29.56,29.18,19.03,19.92,18.72,19.25,17.82,21.4,15.95,14.8,16.8,16.48,12.39,-
Revenue Growth (YoY),-7.07%,10.39%,10.70%,17.85%,9.42%,17.74%,37.47%,38.65%,29.00%,7.32%,2.47%,-17.73%,-11.17%,-3.07%,33.96%,47.87%,57.96%,51.57%,6.74%,-6.90%,17.37%,30.11%,6.07%,29.80%,28.72%,-,-,-,-,-
Gross Profit,34.45,39.46,39.75,39.6,37.07,35.75,35.9,33.6,33.88,30.36,26.12,24.23,26.26,28.29,25.49,29.46,29.56,29.18,19.03,19.92,18.72,19.25,17.82,21.4,15.95,14.8,16.8,16.48,12.39,-
"Selling, General & Admin",17.25,12.35,15.04,16.21,14.44,12.24,13.31,13.15,14.17,12.9,12.24,12.63,14.19,11.7,12.23,13.33,13.5,12.79,7.34,6.91,6.85,5.9,6.06,6.04,5.23,4.84,5.58,6.25,4.94,-
Other Operating Expenses,1.66,1.81,1.66,1.4,1.62,1.06,1.11,1.53,1.62,1.55,1.74,2.19,2.07,1.77,1.56,1.57,1.82,2.72,1.32,1.28,1.44,0.99,1.14,0.92,1.35,0.69,1.46,1.41,2.74,0
Operating Expenses,18.91,14.16,16.7,17.61,16.06,13.3,14.42,14.68,15.79,14.45,13.98,14.82,16.26,13.46,13.79,14.9,15.33,15.5,8.65,8.19,8.29,6.89,7.2,6.96,6.58,5.53,7.04,7.66,7.68,-
Operating Income,15.54,25.3,23.05,21.99,21.01,22.45,21.48,18.92,18.09,15.91,12.14,9.41,10,14.82,11.7,14.56,14.24,13.68,10.37,11.73,10.43,12.37,10.62,14.44,9.37,9.27,9.77,8.83,4.71,-
Pretax Income,15.54,25.3,23.05,21.99,21.01,22.45,21.48,18.92,18.09,15.91,12.14,9.41,10,14.82,11.7,14.56,14.24,13.68,10.37,11.73,10.43,12.37,10.62,14.44,9.37,9.27,9.77,8.83,4.71,-
Income Tax,4.57,7.72,6.4,6.51,6.39,6.74,6.12,5.54,5.63,4.76,3.62,2.9,3.25,4.15,3.69,4.42,3.86,4.19,2.04,2.29,1.58,7.48,4.01,5.9,3.88,3.88,4.07,3.67,1.87,-
Net Income,10.97,17.58,16.65,15.48,14.62,15.71,15.36,13.38,12.46,11.15,8.52,6.51,6.75,10.68,8.01,10.14,10.38,9.49,8.33,9.44,8.85,4.89,6.61,8.54,5.49,5.39,5.7,5.16,2.84,-
Net Income Growth,-24.95%,11.94%,8.38%,15.67%,17.35%,40.90%,80.33%,105.44%,84.59%,4.42%,6.34%,-35.78%,-34.99%,12.47%,-3.83%,7.47%,17.33%,94.17%,26.02%,10.56%,61.06%,-9.25%,16.04%,65.55%,93.42%,-,-,-,-,-
Shares Outstanding (Basic),19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,17,17,16,16,14,16,15,15,13,-,-,-,13
Shares Outstanding (Diluted),19,-,-,-,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shares Change,-3.79%,-1.67%,-1.72%,-1.94%,1.44%,-1.72%,-1.95%,-0.85%,-2.22%,-1.27%,-1.84%,-1.67%,-0.57%,16.71%,21.55%,22.53%,23.24%,21.83%,4.80%,6.48%,5.87%,9.98%,-,-,-,0.31%,-,-,-,-
EPS (Basic),0.58,0.93,0.88,0.81,0.75,0.81,0.79,0.69,0.64,0.56,0.43,0.33,0.34,0.54,0.40,0.51,0.52,0.49,0.50,0.58,0.55,0.28,0.45,0.67,0.43,0.42,0.44,0.40,0.22,-
EPS (Diluted),0.58,0.92,0.87,0.80,0.74,0.79,0.77,0.67,0.63,0.56,0.43,0.33,0.33,0.52,0.39,0.50,0.51,0.47,0.48,0.54,0.52,0.26,0.42,0.62,0.40,0.39,0.42,0.38,0.21,-
EPS Growth,-21.62%,16.46%,12.99%,19.40%,17.46%,41.07%,79.07%,103.03%,90.91%,7.69%,10.26%,-34.00%,-35.29%,10.64%,-18.75%,-7.41%,-1.92%,80.77%,14.29%,-12.90%,30.00%,-33.33%,0%,63.16%,90.48%,-,-,-,-,-
Free Cash Flow Per Share,0.86,1.16,1.34,0.66,1.67,1.64,1.90,1.16,5.57,2.08,0.47,-0.41,3.91,10.45,0.58,7.13,5.54,3.44,-4.92,-2.62,-1.34,3.37,-0.56,0.13,-0.82,2.54,-,-,-,-
Dividend Per Share,0.160,0.140,0.140,0.140,0.140,0.130,0.130,0.130,0.120,0.090,0.060,0.060,0.120,0.100,0.100,0.100,0.100,-,0.180,0.090,0.080,0.080,-,-,-,-,-,-,-,-
Dividend Growth,14.29%,7.69%,7.69%,7.69%,16.67%,44.44%,116.67%,116.67%,0%,-10.00%,-40.00%,-40.00%,20.00%,-,-44.44%,11.11%,25.00%,-,-,-,-,-,-,-,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,-
Operating Margin,45.10%,64.12%,57.99%,55.52%,56.67%,62.79%,59.84%,56.31%,53.39%,52.39%,46.48%,38.85%,38.08%,52.41%,45.91%,49.42%,48.16%,46.87%,54.51%,58.88%,55.71%,64.24%,59.61%,67.47%,58.75%,62.62%,58.12%,53.56%,37.99%,-
Profit Margin,31.84%,44.55%,41.89%,39.09%,39.43%,43.94%,42.79%,39.82%,36.77%,36.72%,32.62%,26.88%,25.69%,37.74%,31.44%,34.43%,35.11%,32.52%,43.79%,47.37%,47.27%,25.39%,37.09%,39.89%,34.45%,36.40%,33.90%,31.28%,22.93%,-
Free Cash Flow Margin,47.30%,56.33%,64.24%,31.84%,87.49%,89.24%,102.65%,67.45%,321.05%,135.24%,35.49%,-33.36%,297.24%,739.18%,45.70%,485.80%,376.47%,201.95%,-428.08%,-215.08%,-116.37%,246.50%,-49.24%,9.27%,-78.81%,219.62%,42.00%,234.20%,-178.83%,-
Effective Tax Rate,29.40%,30.52%,27.76%,29.60%,30.42%,30.03%,28.49%,29.28%,31.13%,29.92%,29.81%,30.82%,32.52%,27.99%,31.53%,30.33%,27.10%,30.62%,19.68%,19.54%,15.15%,60.48%,37.77%,40.87%,41.36%,41.87%,41.67%,41.60%,39.65%,-
EBITDA,17.93,27.57,25.62,25.17,24,25.59,24.86,22.41,21.61,18.05,14.05,11.22,11.96,16.51,13.48,16.2,15.91,15.49,11.63,13.51,10.72,13.77,10.93,14.76,9.71,9.53,10.14,9.19,5.06,-
EBITDA Margin,52.05%,69.87%,64.46%,63.57%,64.75%,71.59%,69.25%,66.69%,63.78%,59.46%,53.79%,46.29%,45.55%,58.35%,52.87%,55.00%,53.81%,53.07%,61.11%,67.80%,57.29%,71.51%,61.33%,69.00%,60.87%,64.40%,60.37%,55.76%,40.87%,-
Depreciation & Amortization,2.39,2.27,2.57,3.19,2.99,3.15,3.38,3.49,3.52,2.15,1.91,1.8,1.96,1.68,1.78,1.65,1.67,1.81,1.26,1.78,0.3,1.4,0.31,0.33,0.34,0.26,0.38,0.36,0.36,-
EBIT,15.54,25.3,23.05,21.99,21.01,22.45,21.48,18.92,18.09,15.91,12.14,9.41,10,14.82,11.7,14.56,14.24,13.68,10.37,11.73,10.43,12.37,10.62,14.44,9.37,9.27,9.77,8.83,4.71,-
EBIT Margin,45.10%,64.12%,57.99%,55.52%,56.67%,62.79%,59.84%,56.31%,53.39%,52.39%,46.48%,38.85%,38.08%,52.41%,45.91%,49.42%,48.16%,46.87%,54.51%,58.88%,55.71%,64.24%,59.61%,67.47%,58.75%,62.62%,58.12%,53.56%,37.99%,-
