Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30
"Selling, General & Admin",0.23,0.1,1.45,1.07,0.38,1.75,0.16,0.26,0.16,0.04,0
Other Operating Expenses,0.05,0.08,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.11,0
Operating Expenses,0.28,0.17,1.5,1.12,0.43,1.81,0.21,0.31,0.22,0.15,0
Operating Income,-0.28,-0.17,-1.5,-1.12,-0.43,-1.81,-0.21,-0.31,-0.22,-0.15,-0
Other Expense / Income,-1.48,2.38,-0.06,-8.49,-3.7,-2.18,-2.04,2.4,-6.27,2.13,-
Pretax Income,1.21,-2.55,-1.44,7.37,3.26,0.37,1.83,-2.71,6.05,-2.28,-0
Income Tax,0,0.07,0,0.01,0,0,0,-0,0,0,0
Net Income,1.21,-2.62,-1.44,7.37,3.26,0.37,1.83,-2.71,6.05,-2.28,-0
Net Income Growth,-62.96%,-,-,-,-46.09%,-,-,-,-,-,-
Shares Outstanding (Basic),5,13,5,20,22,22,22,22,22,5,4
Shares Outstanding (Diluted),5,13,5,20,22,22,22,22,22,5,4
Shares Change,-74.52%,-39.61%,-74.52%,-8.19%,-,352.25%,475.00%,-,-,-,-
EPS (Basic),0.22,-0.09,-0.26,0.37,0.15,0.02,0.08,-0.13,0.28,-0.48,-
EPS (Diluted),0.22,-0.09,-0.26,0.37,0.15,0.02,0.08,-0.13,0.28,-0.48,-
EPS Growth,46.67%,-,-,-,-46.43%,-,-,-,-,-,-
Free Cash Flow Per Share,0.02,-,-0.00,-0.01,-0.01,-0.01,-0.00,-0.01,-0.02,-0.01,-
Effective Tax Rate,-,-,-,0.09%,-,-,-,-,0.04%,-,-
EBITDA,1.21,-2.55,-1.44,7.37,3.26,0.37,1.83,-2.71,6.05,-2.28,-0
EBIT,1.21,-2.55,-1.44,7.37,3.26,0.37,1.83,-2.71,6.05,-2.28,-0
