Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31
"Selling, General & Admin",3.91,6.06,0.52,0.35,0.41,2.89,0.9,0.32,2.35,0,0,-0.1,0.11
Operating Expenses,3.91,6.06,0.52,0.35,0.41,2.89,0.9,0.32,2.35,0,0,-0.1,0.11
Operating Income,-3.91,-6.06,-0.52,-0.35,-0.41,-2.89,-0.9,-0.32,-2.35,0,-0,0.1,-0.11
Other Expense / Income,6.43,4.12,-8.68,-6.29,-17.48,1.39,-14.7,13.74,-22.73,-,-,-,-
Pretax Income,-10.34,-10.18,8.16,5.94,17.06,-4.28,13.8,-14.05,20.38,0,-0,0.1,-0.11
Net Income,-10.34,-10.18,8.16,5.94,17.06,-4.28,13.8,-14.05,20.38,0,-0,0.1,-0.11
Net Income Growth,-,-,-40.87%,-,-16.28%,-,-,-,-,-,-,-,-
Shares Outstanding (Basic),98,125,125,125,125,125,125,125,125,25,25,25,-
Shares Outstanding (Diluted),98,125,125,125,125,125,125,125,125,25,25,25,-
Shares Change,-21.20%,-,-,-,-,400.00%,400.00%,400.00%,-,-,-,-,-
EPS (Basic),-0.10,-0.08,0.07,0.05,0.14,-0.03,0.11,-0.11,0.16,-,-,-,-
EPS (Diluted),-0.10,-0.08,0.07,0.05,0.14,-0.03,0.11,-0.11,0.16,-,-,-,-
EPS Growth,-,-,-36.36%,-,-12.50%,-,-,-,-,-,-,-,-
Free Cash Flow Per Share,-0.01,-0.00,-0.00,-0.01,-0.01,-0.00,-0.00,-0.00,-0.01,-,-,-,-
EBITDA,-10.34,-10.18,8.16,5.94,17.06,-4.28,13.8,-14.05,20.38,0,-0,0.1,-0.11
EBIT,-10.34,-10.18,8.16,5.94,17.06,-4.28,13.8,-14.05,20.38,0,-0,0.1,-0.11
