Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30
Revenue,-4.24,-158.5,-77.22,364.69,410.47,281.77,308.61,359.07,247.15,242.91,-61.41,143.95,71.22,131.87,99.58
Revenue Growth (YoY),-,-,-,1.57%,66.08%,15.99%,-,149.45%,247.05%,84.20%,-,-,-,-,-
Cost of Revenue,-38.33,-137.88,-102.65,234.89,262.43,148.08,157.29,191.12,123.81,121.77,-25.64,77.96,38.1,71.58,54.67
Gross Profit,34.1,-20.61,25.43,129.8,148.03,133.68,151.31,167.94,123.34,121.14,-35.77,65.99,33.12,60.29,44.91
"Selling, General & Admin",43.58,33.73,34.23,38.42,30.3,25.32,16.43,14,12.62,11.36,10.51,14.38,13.31,12.76,12.33
Operating Expenses,43.58,33.73,34.23,38.42,30.3,25.32,16.43,14,12.62,11.36,10.51,14.38,13.31,12.76,12.33
Operating Income,-9.48,-54.34,-8.8,91.38,117.73,108.36,134.88,153.94,110.72,109.79,-46.28,51.61,19.81,47.53,32.58
Interest Expense / Income,1.11,0.82,0.59,0.48,0.54,0.09,0.01,0.01,0.03,5.27,2.06,2.46,2.43,2.57,2.74
Other Expense / Income,-2.92,-18.52,0.37,36.86,53.06,60.35,78.8,104.42,75.57,104.43,-49.5,47.87,16.38,43.91,0.69
Pretax Income,-7.67,-36.64,-9.75,54.05,64.13,47.93,56.07,49.52,35.12,0.09,1.16,1.28,1,1.05,29.14
Income Tax,-0.73,-7.42,1.29,12.24,15.79,-14.15,14.42,11.67,9.55,0.88,1.16,1.28,1,1.05,0.63
Net Income,-6.94,-29.22,-11.04,41.82,48.35,62.07,41.65,37.85,25.58,-0.79,0,0,0,0,28.52
Net Income Growth,-,-,-,10.49%,89.01%,-,-,-,-,-,-,-,-,-,-
Shares Outstanding (Basic),62,61,61,50,58,42,39,31,29,29,95,95,-,-,-
Shares Outstanding (Diluted),62,61,61,64,61,46,43,35,33,29,-,-,-,-,-
Shares Change,1.15%,33.76%,42.58%,82.43%,87.99%,57.02%,-54.77%,-62.97%,-,-,-,-,-,-,-
EPS (Basic),-0.11,-0.48,-0.18,0.60,0.84,1.49,1.07,1.26,0.87,-0.03,-,-,-,-,-
EPS (Diluted),-0.11,-0.48,-0.18,0.62,0.83,1.45,1.06,1.22,0.87,-0.03,-,-,-,-,-
EPS Growth,-,-,-,-49.18%,-4.60%,-,-,-,-,-,-,-,-,-,-
Free Cash Flow Per Share,0.08,1.41,0.93,0.64,0.80,1.43,1.91,0.93,1.27,1.83,0.30,-0.03,-,-,-
Dividend Per Share,0.200,0.200,0.200,0.150,0.150,0.070,0.070,0.070,-,-,-,-,-,-,-
Dividend Growth,33.33%,185.71%,185.71%,114.29%,-,-,-,-,-,-,-,-,-,-,-
Gross Margin,-,-,-,35.59%,36.06%,47.45%,49.03%,46.77%,49.91%,49.87%,-,45.84%,46.51%,45.72%,45.09%
Operating Margin,-,-,-,25.06%,28.68%,38.46%,43.71%,42.87%,44.80%,45.20%,-,35.86%,27.82%,36.04%,32.72%
Profit Margin,-,-,-,11.47%,11.78%,22.03%,13.50%,10.54%,10.35%,-0.33%,-,-,-,-,28.64%
Free Cash Flow Margin,-,-,-,8.73%,11.24%,21.17%,24.15%,8.01%,15.04%,22.04%,-,-1.79%,29.72%,15.37%,26.34%
Effective Tax Rate,-,-,-,22.64%,24.62%,-29.51%,25.72%,23.57%,27.18%,968.13%,100.00%,100.00%,100.00%,100.00%,2.15%
EBITDA,5.5,-24.1,2.35,66.21,76.34,50.46,57.26,50.86,36.54,6.75,4.59,5.34,5.34,5.53,33.55
EBITDA Margin,-,-,-,18.16%,18.60%,17.91%,18.55%,14.17%,14.78%,2.78%,-,3.71%,7.50%,4.19%,33.69%
Depreciation & Amortization,12.06,11.72,11.52,11.69,11.66,2.45,1.18,1.34,1.39,1.39,1.37,1.6,1.91,1.91,1.66
EBIT,-6.56,-35.83,-9.17,54.53,64.68,48.02,56.08,49.52,35.15,5.36,3.22,3.75,3.43,3.62,31.89
EBIT Margin,-,-,-,14.95%,15.76%,17.04%,18.17%,13.79%,14.22%,2.21%,-,2.60%,4.82%,2.75%,32.02%
