Metrics,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
"Selling, General & Admin",0.29,0.46,0.4,0.36,0.15,0.06
Operating Expenses,0.29,0.46,0.4,0.36,0.15,0.06
Operating Income,-0.29,-0.46,-0.4,-0.36,-0.15,-0.06
Other Expense / Income,-12.6,0.27,-7.08,7.97,-10.17,-
Pretax Income,12.31,-0.73,6.68,-8.33,10.02,-0.06
Net Income,12.31,-0.73,6.68,-8.33,10.02,-0.06
Net Income Growth,22.87%,-,-,-,-,-
Shares Outstanding (Basic),52,52,52,52,22,8
Shares Outstanding (Diluted),52,52,52,52,22,8
Shares Change,138.20%,591.08%,-,-,-,-
EPS (Basic),0.24,-0.03,0.12,-0.16,0.46,-0.01
EPS (Diluted),0.24,-0.03,0.12,-0.16,0.46,-0.01
EPS Growth,-47.83%,-,-,-,-,-
Free Cash Flow Per Share,-0.00,-0.01,-,-0.03,-0.04,-
EBITDA,12.31,-0.73,6.68,-8.33,10.02,-0.06
EBIT,12.31,-0.73,6.68,-8.33,10.02,-0.06
