Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
"Selling, General & Admin",0.53,0.3,0.24,0.25,0.47,1.78,1.19,0.29,0.16,0
Operating Expenses,0.53,0.3,0.24,0.25,0.47,1.78,1.19,0.29,0.16,0
Operating Income,-0.53,-0.3,-0.24,-0.25,-0.47,-1.78,-1.19,-0.29,-0.16,-0
Other Expense / Income,0.75,-2,-1.65,-1.73,-7.52,2.91,-3.42,2.62,-3.38,-
Pretax Income,-1.28,1.7,1.41,1.49,7.05,-4.69,2.23,-2.9,3.22,-0
Income Tax,0.01,0.36,0.23,0.03,0,0,0,0,0,0
Net Income,-1.28,1.34,1.19,1.46,7.05,-4.69,2.23,-2.9,3.22,-0
Net Income Growth,-,-,-46.76%,-,118.95%,-,-,-,-,-
Shares Outstanding (Basic),7,31,32,32,32,32,32,32,18,5
Shares Outstanding (Diluted),7,31,32,32,32,32,32,32,18,5
Shares Change,-78.55%,-2.71%,-,-,77.43%,533.26%,-,-,-,-
EPS (Basic),-0.19,0.04,0.04,0.05,0.22,-0.17,0.07,-0.09,0.18,-
EPS (Diluted),-0.19,0.04,0.04,0.05,0.22,-0.17,0.07,-0.09,0.18,-
EPS Growth,-,-,-42.86%,-,22.22%,-,-,-,-,-
Free Cash Flow Per Share,-0.04,-0.01,-0.00,-0.01,-0.01,-0.00,-,-0.02,-0.01,-
Effective Tax Rate,-,21.29%,15.96%,1.78%,-,-,-,-,-,-
EBITDA,-1.28,1.7,1.41,1.49,7.05,-4.69,2.23,-2.9,3.22,-0
EBIT,-1.28,1.7,1.41,1.49,7.05,-4.69,2.23,-2.9,3.22,-0
