Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2018-12-31
Revenue,102.93,146.91,157.23,228.16,310.14,304.85,228.45,193.95,121.35,86.71,65.36,17.35,63.99,62.57,-
Revenue Growth (YoY),-66.81%,-51.81%,-31.17%,17.64%,155.58%,251.57%,249.53%,1017.65%,89.62%,38.58%,-,-,-,-,-
Gross Profit,102.93,146.91,157.23,228.16,310.14,304.85,228.45,193.95,121.35,86.71,65.36,17.35,63.99,62.57,-
"Selling, General & Admin",84.1,97.9,104.11,152.15,176.91,156.89,127.79,102.06,69.4,49.38,33.83,14.45,47.61,43.41,-
Research & Development,110.07,64.03,66.18,57.05,49.99,46.5,37.09,31.43,18.99,14.15,9.97,7.67,7.02,7.3,-
Other Operating Expenses,40.59,43.49,45.03,51.07,48.41,41.05,34.98,24.16,22.64,12.79,9.36,6.62,8.81,8.35,0
Operating Expenses,234.76,205.41,215.32,260.27,275.3,244.43,199.85,157.65,111.02,76.32,53.15,28.74,63.44,59.06,-
Operating Income,-131.84,-58.5,-58.09,-32.11,34.83,60.41,28.6,36.29,10.32,10.39,12.21,-11.39,0.55,3.52,-
Other Expense / Income,-2.6,-2.77,-1.88,-2.26,2.12,1.15,0.75,-0,-,9,2.54,-5.2,-0.93,-2.61,-
Pretax Income,-129.24,-55.73,-56.21,-29.85,32.71,59.27,27.85,36.3,10.32,1.4,9.67,-6.19,1.48,6.13,-
Income Tax,0.02,-0.46,0.01,0.02,0.02,0.32,-1.27,-0.99,0.22,0.37,0,0,0,0.07,-
Net Income,-129.25,-55.26,-56.22,-29.87,32.69,58.94,29.11,37.28,10.1,1.03,9.67,-6.19,1.48,6.05,-
Net Income Growth,-,-,-,-,223.62%,5639.44%,201.10%,-,582.57%,-83.03%,-,-,-,-,-
Shares Outstanding (Basic),82,81,82,84,84,83,79,77,74,18,15,15,15,14,14
Shares Outstanding (Diluted),82,81,82,84,95,97,96,95,91,18,27,15,15,14,-
Shares Change,-14.19%,-15.75%,-14.98%,-11.57%,4.38%,451.54%,259.15%,546.79%,525.28%,21.60%,89.31%,-,-,-,-
EPS (Basic),-1.58,-0.67,-0.69,-0.36,0.39,0.73,0.37,0.49,0.14,-,0.12,-0.42,-,0.43,-
EPS (Diluted),-1.58,-0.67,-0.69,-0.36,0.34,0.62,0.30,0.39,0.11,-,0.10,-0.42,-,0.43,-
EPS Growth,-,-,-,-,209.09%,-,200.00%,-,-,-,-,-,-,-,-
Free Cash Flow Per Share,-0.99,-3.17,-1.31,-0.72,-3.23,-0.20,0.48,1.16,0.58,3.83,1.09,1.01,-6.01,0.45,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,-
Operating Margin,-128.09%,-39.82%,-36.95%,-14.07%,11.23%,19.82%,12.52%,18.71%,8.51%,11.99%,18.68%,-65.63%,0.86%,5.62%,-
Profit Margin,-125.58%,-37.62%,-35.76%,-13.09%,10.54%,19.34%,12.74%,19.22%,8.33%,1.18%,14.79%,-35.69%,2.31%,9.67%,-
Free Cash Flow Margin,-78.88%,-175.52%,-67.98%,-26.63%,-87.73%,-5.52%,16.77%,46.02%,35.02%,77.45%,24.54%,85.18%,-137.34%,10.46%,-
Effective Tax Rate,-,-,-,-,0.06%,0.54%,-4.55%,-2.72%,2.14%,26.54%,-,-,-,1.21%,-
EBITDA,-122.8,-52.07,-52.49,-26.49,35.49,61.82,30.03,38.28,11.14,2.05,10.25,-5.66,2,6.58,-
EBITDA Margin,-119.30%,-35.44%,-33.38%,-11.61%,11.44%,20.28%,13.15%,19.74%,9.18%,2.36%,15.68%,-32.61%,3.12%,10.51%,-
Depreciation & Amortization,6.44,3.65,3.72,3.35,2.78,2.56,2.19,1.98,0.82,0.65,0.58,0.54,0.52,0.45,-
EBIT,-129.24,-55.73,-56.21,-29.85,32.71,59.27,27.85,36.3,10.32,1.4,9.67,-6.19,1.48,6.13,-
EBIT Margin,-125.56%,-37.93%,-35.75%,-13.08%,10.55%,19.44%,12.19%,18.71%,8.51%,1.61%,14.79%,-35.69%,2.31%,9.79%,-
