Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31
"Selling, General & Admin",0.29,0.28,0.31,0.08,0.04
Operating Expenses,0.29,0.28,0.31,0.08,0.04
Operating Income,-0.29,-0.28,-0.31,-0.08,-0.04
Other Expense / Income,-2.3,-2.2,-0.61,-0.01,-
Pretax Income,2.01,1.92,0.3,-0.08,-0.04
Net Income,2.01,1.92,0.3,-0.08,-0.04
Shares Outstanding (Basic),26,5,5,5,5
Shares Outstanding (Diluted),26,6,5,5,5
Shares Change,424.00%,-,-,-,-
EPS (Basic),0.08,0.11,0.01,-0.01,-0.01
EPS (Diluted),0.08,0.11,0.01,-0.01,-0.01
Free Cash Flow Per Share,-0.01,-0.02,-0.20,-0.01,-0.01
EBITDA,2.01,1.92,0.3,-0.08,-0.04
EBIT,2.01,1.92,0.3,-0.08,-0.04
