Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30
"Selling, General & Admin",0.28,0.34,0.24,0.1,0.21,0.17,0.09,0.23,0.07,0.15,0.01
Operating Expenses,0.28,0.34,0.24,0.1,0.21,0.17,0.09,0.23,0.07,0.15,0.01
Operating Income,-0.28,-0.34,-0.24,-0.1,-0.21,-0.17,-0.09,-0.23,-0.07,-0.15,-0.01
Other Expense / Income,0.51,0.1,-4.96,-8.49,-12.95,-8.74,-6.04,3.59,-8.74,-2.28,-
Pretax Income,-0.78,-0.44,4.72,8.38,12.74,8.58,5.94,-3.82,8.68,2.13,-0.01
Income Tax,0,0.49,0.59,0.12,0.02,0,0,0,0,0,0
Net Income,-0.78,-0.93,4.13,8.27,12.73,8.57,5.94,-3.83,8.67,2.13,-0.01
Net Income Growth,-,-,-30.52%,-,46.78%,303.21%,-,-,-,-,-
Shares Outstanding (Basic),27,83,94,94,94,94,94,94,94,53,22
Shares Outstanding (Diluted),27,83,94,94,94,94,94,94,94,53,22
Shares Change,-71.10%,-11.53%,0.01%,0.01%,0.01%,76.93%,334.88%,-,-,-,-
EPS (Basic),-0.03,0.02,0.04,0.09,0.14,0.09,0.06,-0.04,0.09,0.04,-
EPS (Diluted),-0.03,0.02,0.04,0.09,0.14,0.09,0.06,-0.04,0.09,0.04,-
EPS Growth,-,-77.78%,-33.33%,-,55.56%,125.00%,-,-,-,-,-
Free Cash Flow Per Share,-0.01,-0.00,-0.00,-0.00,-0.00,-0.00,-,-0.00,-0.00,-0.00,-
Effective Tax Rate,-,-,12.60%,1.39%,0.12%,0.05%,0.07%,-,0.05%,0.05%,-
EBITDA,-0.78,-0.44,4.72,8.38,12.74,8.58,5.94,-3.82,8.68,2.13,-0.01
EBIT,-0.78,-0.44,4.72,8.38,12.74,8.58,5.94,-3.82,8.68,2.13,-0.01
