Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+42 Quarters
Revenue,297.39,308.92,385.53,335.83,482,396.07,280.83,302.72,357.49,539.89,312.64,314.69,169.4,275.11,275.57,232.97,257.94,213.65,265.85,254.46,318.21,189.19,208.64,167.96,204.07,311.81,238.87,148.63,183.97,248.14,196.91,227.15,217.66,218.86,249.33,231.56,222.28,220.25,201.1,259.51,Upgrade
Revenue Growth (YoY),-38.30%,-22.00%,37.28%,10.94%,34.83%,-26.64%,-10.17%,-3.80%,111.03%,96.25%,13.45%,35.07%,-34.33%,28.76%,3.66%,-8.44%,-18.94%,12.93%,27.42%,51.50%,55.94%,-39.33%,-12.66%,13.01%,10.92%,25.66%,21.31%,-34.57%,-15.48%,13.38%,-21.02%,-1.90%,-2.08%,-0.63%,23.99%,-10.77%,4.03%,9.04%,22.80%,57.64%,Upgrade
Cost of Revenue,56,53.33,48.64,30.85,35.55,28.6,31.34,21.68,27.05,24.35,31.16,21.12,28.39,24.33,30.91,20.97,25.82,20.51,23.4,15.18,17.4,14.38,17.78,11.72,14.74,51.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Upgrade
Gross Profit,241.39,255.59,336.88,304.98,446.45,367.47,249.49,281.04,330.44,515.53,281.48,293.57,141.01,250.78,244.66,212,232.13,193.14,242.45,239.28,300.81,174.8,190.86,156.24,189.32,260.63,238.87,148.63,183.97,248.14,196.91,227.15,217.66,218.86,249.33,231.56,222.28,220.25,201.1,259.51,Upgrade
"Selling, General & Admin",152.71,151.57,147.2,141.4,149.41,143.78,128.59,118.97,115.79,136.61,126.1,119.25,119.88,124.56,116.67,111.21,111.06,114.25,114.17,111.12,96.64,81.2,74.19,74.63,71.86,68.02,63.74,60.92,63.24,64.86,63.22,58.79,61.05,60.61,61.1,53.89,52.48,52.12,48.71,47.43,Upgrade
Other Operating Expenses,57.41,70.58,62.63,55.19,56.46,55.47,54.03,52.82,56.88,76.74,65.05,66.45,71.03,75.36,86.03,69.9,68.03,61.82,71.27,65.11,55.01,73.04,39.55,35.3,34.76,59.58,37.17,39.27,41.34,44.98,49.93,49.62,46.56,47.09,49.27,51.59,49.46,35.61,58.9,55.47,Upgrade
Operating Expenses,210.12,222.15,209.83,196.59,205.87,199.25,182.63,171.79,172.67,213.35,191.15,185.69,190.91,199.92,202.7,181.12,179.09,176.06,185.45,176.23,151.65,154.24,113.74,109.93,106.62,127.6,100.91,100.2,104.58,109.84,113.15,108.41,107.61,107.7,110.37,105.47,101.95,87.73,107.61,102.9,Upgrade
Operating Income,31.27,33.44,127.06,108.39,240.58,168.22,66.87,109.25,157.77,302.18,90.33,107.87,-49.9,50.86,41.96,30.89,53.04,17.08,57.01,63.05,149.16,20.56,77.11,46.31,82.7,133.04,137.96,48.43,79.39,138.3,83.77,118.74,110.05,111.17,138.97,126.08,120.33,132.53,93.49,156.6,Upgrade
Other Expense / Income,-3.47,-2.79,-4.33,-2.23,-1.76,-3.54,-1.92,-0.85,-0.69,-3.39,-0.33,0.13,0.77,-0.55,-0.08,0.06,0.06,0.05,0.2,0.1,-0.74,-22.06,5.25,1.54,3.92,-19.44,5.95,7.24,7,7.55,7.82,7.47,7.66,7.52,7.23,8.01,5.93,24.45,0.22,0.61,Upgrade
Pretax Income,34.74,36.23,131.38,110.61,242.34,171.76,68.79,110.1,158.46,305.57,90.66,107.75,-50.67,51.4,42.04,30.83,52.98,17.03,56.81,62.95,149.9,42.62,71.87,44.77,78.78,152.48,132.01,41.19,72.39,130.75,75.95,111.27,102.4,103.65,131.73,118.07,114.4,108.08,93.27,155.99,Upgrade
