Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Revenue,1.34,3.12,3.2,2.9,2.72,2.66,2.54,2.47,2.42,2.21,2.43,2.39,2.33
Revenue Growth (YoY),-50.96%,17.15%,26.27%,17.47%,12.48%,20.43%,4.32%,3.13%,3.79%,-,-,-,-
Gross Profit,1.34,3.12,3.2,2.9,2.72,2.66,2.54,2.47,2.42,2.21,2.43,2.39,2.33
"Selling, General & Admin",2.08,2.45,2,1.89,1.84,1.79,1.76,1.75,1.71,1.72,1.78,1.65,1.6
Other Operating Expenses,0.56,0.16,0.53,0.48,0.4,0.55,1.01,0.49,0.42,0.49,0.4,0.37,0.41
Operating Expenses,2.64,2.62,2.54,2.37,2.24,2.33,2.77,2.24,2.13,2.21,2.18,2.02,2.02
Operating Income,-1.3,0.5,0.67,0.53,0.48,0.33,-0.23,0.22,0.29,0.01,0.25,0.37,0.32
Pretax Income,-1.3,0.5,0.67,0.53,0.48,0.33,-0.23,0.22,0.29,0.01,0.25,0.37,0.32
Income Tax,-0.29,0.1,0.13,0.11,0.09,0.05,-0.04,0.04,0.05,0.04,0.04,0.06,0.05
Net Income,-1.02,0.41,0.54,0.42,0.39,0.29,-0.2,0.19,0.24,-0.03,0.21,0.31,0.26
Net Income Growth,-,42.66%,-,121.28%,61.57%,-,-,-39.06%,-8.46%,-,-,-,-
Shares Outstanding (Basic),3,3,3,3,3,3,3,3,3,3,-,-,-
Shares Outstanding (Diluted),3,3,3,3,3,3,3,-,-,-,-,-,-
Shares Change,2.61%,1.65%,1.00%,-7.43%,-7.60%,-7.62%,-,-,-,-,-,-,-
EPS (Basic),-0.33,0.13,0.18,0.14,0.13,0.09,-0.07,-,-,-,-,-,-
EPS (Diluted),-0.33,0.13,0.18,0.14,0.13,0.09,-0.07,-,-,-,-,-,-
EPS Growth,-,44.44%,-,-,-,-,-,-,-,-,-,-,-
Free Cash Flow Per Share,-0.19,0.18,0.27,0.30,0.16,-1.00,1.08,0.17,0.26,-0.02,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,-97.60%,16.12%,20.77%,18.29%,17.60%,12.46%,-9.23%,9.04%,12.07%,0.32%,10.12%,15.59%,13.56%
Profit Margin,-76.18%,13.07%,16.84%,14.35%,14.36%,10.74%,-7.81%,7.62%,10.00%,-1.45%,8.56%,12.90%,11.34%
Free Cash Flow Margin,-43.00%,17.59%,25.34%,31.61%,17.49%,-112.84%,127.69%,22.38%,34.59%,-2.85%,21.26%,9.37%,18.33%
Effective Tax Rate,-,18.89%,18.95%,21.51%,18.37%,13.86%,-,15.70%,17.12%,557.14%,15.45%,17.27%,16.40%
EBITDA,-1.19,0.61,0.77,0.64,0.59,0.44,-0.12,0.33,0.4,0.12,0.35,0.48,0.42
EBITDA Margin,-89.44%,19.55%,24.15%,21.98%,21.60%,16.55%,-4.89%,13.50%,16.53%,5.20%,14.54%,20.08%,18.16%
Depreciation & Amortization,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11
EBIT,-1.3,0.5,0.67,0.53,0.48,0.33,-0.23,0.22,0.29,0.01,0.25,0.37,0.32
EBIT Margin,-97.60%,16.12%,20.77%,18.29%,17.60%,12.46%,-9.23%,9.04%,12.07%,0.32%,10.12%,15.59%,13.56%
