Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-15
"Selling, General & Admin",0.33,0.24,0.23,0.25,0.34,0.14,0.01,0.07,0.01
Operating Expenses,0.33,0.24,0.23,0.25,0.34,0.14,0.01,0.07,0.01
Operating Income,-0.33,-0.24,-0.23,-0.25,-0.34,-0.14,-0.01,-0.07,-0.01
Other Expense / Income,-1.91,-4.12,-3.37,-2.08,-8.48,-10.06,-,-,-
Pretax Income,1.58,3.88,3.14,1.83,8.13,9.93,-0.01,-0.07,-0.01
Net Income,1.58,3.88,3.14,1.83,8.13,9.93,-0.01,-0.07,-0.01
Net Income Growth,-80.57%,-60.90%,-,-,-,-,-,-,-
Shares Outstanding (Basic),29,29,29,29,29,6,5,5,5
Shares Outstanding (Diluted),29,29,29,29,29,6,5,5,5
Shares Change,-,348.61%,475.00%,506.94%,475.00%,-,-,-,-
EPS (Basic),0.05,0.13,0.11,0.06,0.28,1.56,-,-0.01,-
EPS (Diluted),0.05,0.13,0.11,0.06,0.28,1.56,-,-0.01,-
EPS Growth,-82.14%,-91.67%,-,-,-,-,-,-,-
Free Cash Flow Per Share,-0.01,-0.00,-0.01,-0.01,-0.04,-0.01,-,-,-
EBITDA,1.58,3.88,3.14,1.83,8.13,9.93,-0.01,-0.07,-0.01
EBIT,1.58,3.88,3.14,1.83,8.13,9.93,-0.01,-0.07,-0.01
