Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31
Revenue,557.51,547.68,519.86,539.21,536.57,523.89,454.54,425.36,394.18,379.67,331.48,313.11,337.05,340.23,316.64,301.55,259.92,247.52,235.7,231.44,196.23,189.86,180.25,157.23,135.55
Revenue Growth (YoY),3.90%,4.54%,14.37%,26.77%,36.12%,37.98%,37.12%,35.85%,16.95%,11.59%,4.69%,3.83%,29.67%,37.46%,34.34%,30.29%,32.46%,30.37%,30.76%,47.20%,44.77%,-,-,-,-
Gross Profit,557.51,547.68,519.86,539.21,536.57,523.89,454.54,425.36,394.18,379.67,331.48,313.11,337.05,340.23,316.64,301.55,259.92,247.52,235.7,231.44,196.23,189.86,180.25,157.23,135.55
"Selling, General & Admin",319.23,286.72,276.24,272.9,270.45,255.94,219.89,208.06,204.87,193.34,172.14,166.67,180.44,174.91,170.49,165.27,153.71,144.74,151.21,122.77,109.64,103.96,122.75,97.14,76.32
Other Operating Expenses,216.84,223.83,163.61,162.5,192.76,220.76,213.09,197.88,174.6,164.54,140.84,132.5,91.03,139.43,133.24,116.75,96.9,68.35,98.74,96.96,74.05,82.99,68.51,57.63,47.83
Operating Expenses,536.07,510.55,439.85,435.4,463.21,476.7,432.97,405.94,379.47,357.88,312.98,299.17,271.46,314.34,303.74,282.01,250.61,213.08,249.96,219.72,183.68,186.95,191.26,154.77,124.15
Operating Income,21.44,37.13,80.02,103.81,73.35,47.19,21.56,19.42,14.71,21.79,18.51,13.94,65.59,25.89,12.91,19.53,9.32,34.43,-14.26,11.71,12.55,2.91,-11.01,2.46,11.39
Interest Expense / Income,43.93,35.89,26.49,19.89,17.62,17.11,16.54,10.83,10.52,9.11,8.9,10.06,13.59,15.16,15.85,14.42,12.86,10.97,13,18.21,14.27,14.52,14.3,7.05,5.99
Other Expense / Income,-3.15,7.78,12.16,18.61,11.02,8.5,1.69,4.44,2.75,4.93,3.56,1.44,19.54,11.98,-0.32,2.89,0.62,10.07,-20.8,0.41,9.15,0.85,12.02,0.37,0.51
Pretax Income,-19.34,-6.54,41.37,65.31,44.72,21.57,3.33,4.15,1.44,7.75,6.05,2.45,32.47,-1.25,-2.63,2.22,-4.16,13.39,-6.45,-6.91,-10.88,-12.47,-37.32,-4.96,4.89
