Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30
Revenue,25.69,27.21,27.5,26.56,26.67,23.11,24.93,23.71,23.67,22.72,29.45,24.1,16.33,15.97,16.63,16.62,14.75,13.9,14.41,14.47,14.84,15.7,13.81,12.89
Revenue Growth (YoY),-3.69%,17.72%,10.28%,12.01%,12.70%,1.73%,-15.35%,-1.61%,44.93%,42.21%,77.13%,44.97%,10.70%,14.91%,15.41%,14.89%,-0.58%,-11.48%,4.30%,12.21%,-,-,-,-
Gross Profit,25.69,27.21,27.5,26.56,26.67,23.11,24.93,23.71,23.67,22.72,29.45,24.1,16.33,15.97,16.63,16.62,14.75,13.9,14.41,14.47,14.84,15.7,13.81,12.89
"Selling, General & Admin",16.54,15.31,14.69,16.25,15.68,16.41,13.09,12.58,12.61,12.33,13.26,9.5,11.18,10.44,11.02,10.28,9.99,9.16,9.62,10.19,9.48,10.7,9.48,9.36
Other Operating Expenses,3.99,4.64,4.57,4.33,3.67,4.12,3.38,2.95,3.02,3.29,3.37,3.15,3.46,2.64,2.42,4.38,2.61,2.49,2.56,2.89,3.81,3.11,2.66,2.92
Operating Expenses,20.53,19.95,19.26,20.58,19.36,20.52,16.47,15.52,15.63,15.61,16.63,12.64,14.65,13.08,13.44,14.66,12.6,11.65,12.18,13.08,13.29,13.81,12.13,12.28
Operating Income,5.16,7.26,8.24,5.98,7.32,2.59,8.47,8.19,8.04,7.1,12.82,11.46,1.68,2.89,3.19,1.97,2.15,2.25,2.23,1.39,1.55,1.89,1.68,0.61
Other Expense / Income,-,-0.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Pretax Income,5.16,7.3,8.24,5.98,7.32,2.59,8.47,8.19,8.04,7.1,12.82,11.46,1.68,2.89,3.19,1.97,2.15,2.25,2.23,1.39,1.55,1.89,1.68,0.61
Income Tax,1.34,1.83,2.01,1.49,1.79,0.67,2.05,1.91,2.04,2.23,3.19,2.76,0.35,0.32,0.78,0.56,0.52,0.53,0.54,0.34,0.37,1.85,0.63,0.21
Net Income,3.82,5.47,6.22,4.48,5.52,1.92,6.42,6.28,6,4.87,9.63,8.7,1.33,2.57,2.41,1.4,1.63,1.72,1.69,1.05,1.19,0.05,1.05,0.4
Preferred Dividends,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0.56,0.56,0.56,0.58,0.57
Net Income Common,3.82,5.47,6.22,4.48,5.52,1.92,6.42,6.28,6,4.87,9.63,8.7,1.33,2.57,2.41,1.4,1.63,1.72,1.43,0.49,0.63,-0.52,0.46,-0.17
Net Income Growth,-30.85%,185.39%,-3.05%,-28.60%,-7.92%,-60.67%,-33.36%,-27.82%,349.70%,89.50%,300.25%,519.37%,-18.01%,49.19%,67.78%,188.89%,160.32%,-,209.05%,-,-,-,-,-
Shares Outstanding (Basic),10,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,-,-
Shares Change,0.82%,18.17%,18.65%,18.41%,18.50%,1.01%,0.56%,0.98%,0.51%,-0.43%,-0.40%,-0.83%,-0.64%,0.22%,1.84%,7.63%,7.42%,7.42%,-,-,-,-,-,-
EPS (Basic),0.40,0.57,0.66,0.47,0.59,0.23,0.80,0.79,0.76,0.62,1.22,1.10,0.17,0.33,0.30,0.18,0.21,0.24,0.19,0.08,0.11,-0.09,0.08,-0.03
EPS (Diluted),0.39,0.56,0.64,0.46,0.57,0.22,0.78,0.76,0.74,0.61,1.20,1.10,0.17,0.32,0.30,0.18,0.21,0.23,0.19,0.08,0.11,-0.09,0.08,-0.03
EPS Growth,-31.58%,154.55%,-17.95%,-39.47%,-22.97%,-63.93%,-35.00%,-30.91%,335.29%,90.63%,300.00%,511.11%,-19.05%,39.13%,57.89%,125.00%,90.91%,-,137.50%,-,-,-,-,-
Free Cash Flow Per Share,0.02,1.29,2.37,1.23,-0.17,3.55,0.38,17.59,-1.49,-8.08,-2.57,1.13,-2.36,3.10,-3.61,-1.52,-0.72,1.14,2.15,-1.39,0.20,0.84,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,20.09%,26.67%,29.95%,22.50%,27.43%,11.19%,33.96%,34.53%,33.97%,31.26%,43.53%,47.53%,10.31%,18.09%,19.16%,11.82%,14.58%,16.20%,15.49%,9.57%,10.47%,12.06%,12.16%,4.75%
Profit Margin,14.87%,20.11%,22.63%,16.88%,20.71%,8.30%,25.74%,26.47%,25.35%,21.46%,32.70%,36.08%,8.17%,16.10%,14.47%,8.45%,11.03%,12.40%,9.95%,3.36%,4.21%,-3.28%,3.36%,-1.31%
Free Cash Flow Margin,0.70%,45.14%,81.64%,43.74%,-5.85%,123.50%,12.12%,593.23%,-49.92%,-282.93%,-69.43%,36.98%,-114.54%,154.83%,-173.12%,-73.06%,-38.82%,65.13%,117.03%,-71.03%,9.76%,39.47%,-90.75%,-
Effective Tax Rate,25.98%,25.07%,24.46%,25.00%,24.49%,25.90%,24.20%,23.34%,25.38%,31.37%,24.89%,24.09%,20.78%,11.00%,24.48%,28.55%,24.36%,23.45%,24.33%,24.33%,23.63%,97.62%,37.62%,33.99%
EBITDA,5.74,7.82,8.54,6.54,7.87,2.98,8.76,8.48,8.32,7.39,13.1,11.73,1.96,3.2,3.54,2.43,2.7,2.77,2.79,1.96,2.13,2.51,2.28,-
EBITDA Margin,22.36%,28.74%,31.05%,24.63%,29.49%,12.89%,35.13%,35.75%,35.17%,32.52%,44.48%,48.68%,12.00%,20.02%,21.28%,14.63%,18.27%,19.91%,19.36%,13.56%,14.33%,15.98%,16.53%,-
Depreciation & Amortization,0.58,0.52,0.3,0.57,0.55,0.39,0.29,0.29,0.28,0.29,0.28,0.28,0.28,0.31,0.35,0.47,0.54,0.52,0.56,0.58,0.57,0.62,0.6,-
EBIT,5.16,7.3,8.24,5.98,7.32,2.59,8.47,8.19,8.04,7.1,12.82,11.46,1.68,2.89,3.19,1.97,2.15,2.25,2.23,1.39,1.55,1.89,1.68,0.61
EBIT Margin,20.09%,26.84%,29.95%,22.50%,27.43%,11.19%,33.96%,34.53%,33.97%,31.26%,43.53%,47.53%,10.31%,18.09%,19.16%,11.82%,14.58%,16.20%,15.49%,9.57%,10.47%,12.06%,12.16%,4.75%
