Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31
Revenue,82.58,85.3,127.44,203.2,108.61,107.48,98.69,133.73,101.88,64.47,88.13,53.35,34.11,53.33,49,45.17,40.89,40.04,52.3,55.57,50.84,114.36,43.66,43.5,39.9,34.88,33.26,25.81,29.71,31.37,23.19,23.52,28.03,19.14,19.89,18.2,-
Revenue Growth (YoY),-23.97%,-20.63%,29.13%,51.95%,6.61%,66.71%,11.98%,150.66%,198.67%,20.90%,79.87%,18.10%,-16.58%,33.19%,-6.31%,-18.72%,-19.57%,-64.99%,19.79%,27.75%,27.43%,227.92%,31.28%,68.54%,34.29%,11.17%,43.42%,9.75%,5.98%,63.95%,16.62%,29.22%,-,-,-,-,-
Gross Profit,82.58,85.3,127.44,203.2,108.61,107.48,98.69,133.73,101.88,64.47,88.13,53.35,34.11,53.33,49,45.17,40.89,40.04,52.3,55.57,50.84,114.36,43.66,43.5,39.9,34.88,33.26,25.81,29.71,31.37,23.19,23.52,28.03,19.14,19.89,18.2,-
"Selling, General & Admin",65.18,66.85,65.03,67.24,57.12,52.09,47.8,49.73,47.2,44.04,35.75,42.53,43.36,37.71,37.57,34.85,33.93,28,34.14,35.33,32.78,30.73,29.59,28.43,27.47,24.43,24.61,23.01,19.28,19.47,15.81,15.07,13.51,12.2,12.11,10.11,-
Other Operating Expenses,13.72,9.29,10.3,13.59,8.59,7.61,7.6,7.83,7.95,8.39,6.9,5.57,6.14,6.7,5.17,4.12,4.27,4.56,7.1,5.5,5.29,9.6,6.26,4.87,5.52,4.76,2.6,2.12,2.43,2.67,2.25,1.75,1.2,3.08,1.15,1.43,0
Operating Expenses,78.89,76.14,75.33,80.83,65.71,59.7,55.4,57.56,55.15,52.44,42.65,48.1,49.49,44.41,42.74,38.97,38.2,32.56,41.24,40.83,38.07,40.33,35.86,33.3,32.99,29.19,27.22,25.13,21.71,22.13,18.06,16.82,14.7,15.28,13.27,11.54,-
Operating Income,3.68,9.16,52.11,122.37,42.9,47.78,43.29,76.17,46.74,12.04,45.48,5.25,-15.38,8.92,6.26,6.2,2.69,7.48,11.05,14.74,12.77,74.03,7.8,10.2,6.91,5.69,6.04,0.68,8,9.24,5.13,6.7,13.33,3.86,6.62,6.66,-
Other Expense / Income,0.07,8.45,7.72,0.05,-,-,0.06,-,3.13,-,-,-,-,-,-,0.6,-,-,-,-,-,0.69,-,-,-,3.2,-0,-,-0.01,-0,-0,-,-0.02,-,-,-,-
Pretax Income,3.61,0.72,44.39,122.32,42.9,47.78,43.23,76.17,43.61,12.04,45.48,5.25,-15.38,8.92,6.26,5.6,2.69,7.48,11.05,14.74,12.77,73.34,7.8,10.2,6.91,2.49,6.04,0.68,8.01,9.24,5.13,6.7,13.35,3.86,6.62,6.66,-
Income Tax,3.22,-1.08,1.53,25.28,8.39,17.63,9.39,12.59,4.18,-17.55,11.7,1.47,-7.78,2.09,2.37,0.66,0.32,-3.01,-3.2,0.49,0.32,1.61,-5.06,0.41,0.8,-2.99,2.56,0.56,3.31,3.52,2.23,2.77,5.28,1.41,5.98,0,-
Net Income,0.4,1.79,42.87,97.04,34.51,30.15,33.84,63.58,39.43,29.59,33.78,3.78,-7.6,6.83,3.9,4.94,2.37,10.49,14.25,14.25,12.45,71.73,12.86,9.8,6.11,5.48,3.48,0.12,4.69,5.72,2.9,3.94,8.07,2.45,0.64,6.66,-
