Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31
Revenue,24.91,22.26,14.98,18.42,18.82,17.9,16.85,16.57,14.46,14.11,13.48,12.7,-
Revenue Growth (YoY),32.35%,24.38%,-11.13%,11.20%,30.11%,26.84%,25.04%,30.49%,-,-,-,-,-
Gross Profit,24.91,22.26,14.98,18.42,18.82,17.9,16.85,16.57,14.46,14.11,13.48,12.7,-
"Selling, General & Admin",9.31,9.25,8.86,8.74,7.79,7.78,7.38,7.42,7.09,7.22,7.52,7.16,-
Other Operating Expenses,4.08,3.31,3.61,3.08,3.91,3.19,3.02,2.9,3.16,3.27,2.39,2.43,0
Operating Expenses,13.38,12.56,12.47,11.82,11.7,10.97,10.4,10.32,10.25,10.49,9.9,9.59,-
Operating Income,11.52,9.71,2.51,6.6,7.12,6.93,6.45,6.25,4.22,3.62,3.57,3.1,-
Pretax Income,11.52,9.71,2.51,6.6,7.12,6.93,6.45,6.25,4.22,3.62,3.57,3.1,-
Income Tax,2.45,1.86,0.4,1.27,1.62,1.35,1.26,1.23,0.81,0.71,0.7,0.63,-
Net Income,9.07,7.85,2.11,5.33,5.49,5.58,5.19,5.03,3.41,2.91,2.88,2.48,-
Net Income Growth,65.12%,40.84%,-59.37%,6.07%,61.09%,91.42%,80.44%,102.95%,-,-,-,-,-
Shares Outstanding (Basic),6,6,6,6,6,5,4,4,5,5,5,5,4
Shares Outstanding (Diluted),6,6,6,6,6,5,4,4,5,5,5,5,-
Shares Change,-0.32%,7.11%,25.17%,25.69%,25.38%,16.47%,-0.57%,-0.60%,0.39%,-,-,-,-
EPS (Basic),1.61,1.40,0.38,0.95,0.95,1.06,1.16,1.12,0.76,0.65,0.64,0.55,-
EPS (Diluted),1.61,1.40,0.38,0.95,0.95,1.06,1.16,1.12,0.76,0.65,0.64,0.55,-
EPS Growth,69.47%,32.08%,-67.24%,-15.18%,25.00%,63.08%,81.25%,103.64%,-,-,-,-,-
Free Cash Flow Per Share,1.22,2.14,1.25,0.54,0.92,1.28,0.98,0.46,0.59,1.16,0.34,0.28,-
Dividend Per Share,0.230,0.200,0.200,0.200,0.200,0.200,-,-,-,-,-,-,-
Dividend Growth,15.00%,0%,-,-,-,-,-,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,-
Operating Margin,46.27%,43.61%,16.76%,35.83%,37.81%,38.70%,38.28%,37.73%,29.15%,25.67%,26.51%,24.45%,-
Profit Margin,36.42%,35.27%,14.09%,28.93%,29.19%,31.15%,30.82%,30.33%,23.58%,20.64%,21.35%,19.50%,-
Free Cash Flow Margin,27.49%,54.03%,46.90%,16.50%,27.50%,37.61%,26.15%,12.35%,18.37%,37.12%,11.24%,9.78%,-
Effective Tax Rate,21.29%,19.12%,15.94%,19.24%,22.81%,19.50%,19.49%,19.60%,19.12%,19.60%,19.45%,20.23%,-
EBITDA,11.85,10.19,2.94,7.05,7.56,7.34,6.85,6.65,4.61,4.01,3.96,3.49,-
EBITDA Margin,47.59%,45.78%,19.66%,38.26%,40.17%,41.03%,40.66%,40.13%,31.90%,28.39%,29.41%,27.51%,-
Depreciation & Amortization,0.33,0.48,0.43,0.45,0.44,0.42,0.4,0.4,0.4,0.38,0.39,0.39,-
EBIT,11.52,9.71,2.51,6.6,7.12,6.93,6.45,6.25,4.22,3.62,3.57,3.1,-
EBIT Margin,46.27%,43.61%,16.76%,35.83%,37.81%,38.70%,38.28%,37.73%,29.15%,25.67%,26.51%,24.45%,-
