Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31
Revenue,10.8,11.91,11.5,11.53,10.97,11.2,10.6,10.3,10.13,9.96,9.13,8.79,8.63,7.91,8.35,7.9,7.5,8.36,7.5,7.26,6.94
Revenue Growth (YoY),-1.56%,6.41%,8.43%,11.89%,8.28%,12.45%,16.13%,17.23%,17.37%,25.83%,9.33%,11.26%,15.08%,-5.38%,11.40%,8.75%,8.06%,-,-,-,-
Gross Profit,10.8,11.91,11.5,11.53,10.97,11.2,10.6,10.3,10.13,9.96,9.13,8.79,8.63,7.91,8.35,7.9,7.5,8.36,7.5,7.26,6.94
"Selling, General & Admin",5.36,6.09,5.87,5.68,5.61,6.24,5.32,5.34,5.57,5.54,4.64,4.28,4.29,3.09,4.92,6.22,4.47,3.08,4.2,4.23,4.23
Other Operating Expenses,1.95,1.82,1.81,1.45,1.7,1.68,1.48,1.51,1.37,1.28,1.31,1.34,1.2,22,7.55,1.36,1.3,3.53,1.26,1.29,1.18
Operating Expenses,7.31,7.91,7.68,7.13,7.3,7.92,6.8,6.85,6.95,6.83,5.94,5.62,5.49,25.09,12.47,7.57,5.77,6.61,5.45,5.52,5.42
Operating Income,3.48,4.01,3.82,4.4,3.66,3.28,3.8,3.45,3.18,3.13,3.19,3.17,3.14,-17.17,-4.12,0.33,1.73,1.75,2.04,1.74,1.52
Other Expense / Income,0.05,0.03,0.04,0.03,0.03,0.03,0.04,0.03,0.03,0.02,0.04,0.03,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.02
Pretax Income,3.44,3.97,3.77,4.37,3.64,3.25,3.76,3.42,3.15,3.1,3.15,3.14,3.11,-17.22,-4.15,0.29,1.69,1.73,2.01,1.71,1.5
Income Tax,0.53,0.67,0.62,0.88,0.62,0.53,0.68,0.64,0.59,0.58,0.61,0.63,0.65,-4.67,-0.9,-0.04,0.32,0.26,0.39,0.34,0.29
Net Income,2.9,3.3,3.16,3.49,3.02,2.72,3.08,2.78,2.56,2.53,2.53,2.51,2.45,-12.54,-3.25,0.34,1.37,1.47,1.62,1.37,1.21
Net Income Growth,-3.76%,21.53%,2.46%,25.31%,17.76%,7.56%,21.75%,10.98%,4.50%,-,-,647.83%,78.70%,-,-,-75.63%,13.19%,-,-,-,-
Shares Outstanding (Basic),12,12,12,12,12,12,12,13,13,13,14,14,14,14,14,13,13,13,-,-,-
Shares Change,-4.98%,-5.06%,-5.28%,-7.21%,-5.67%,-6.58%,-7.78%,-4.75%,-3.51%,-1.68%,-,3.84%,3.84%,3.84%,-,-,-,-,-,-,-
