Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
"Selling, General & Admin",2.3,0.62,0.37,0.51,0.3,0.01,0,0.01
Operating Expenses,2.3,0.62,0.37,0.51,0.3,0.01,0,0.01
Operating Income,-2.3,-0.62,-0.37,-0.51,-0.3,-0.01,0,-0.01
Other Expense / Income,-1.07,-0.61,-0.33,-0.02,-0,-,-,-
Pretax Income,-1.22,-0,-0.05,-0.49,-0.3,-0.01,0,-0.01
Net Income,-1.22,-0,-0.05,-0.49,-0.3,-0.01,0,-0.01
Shares Outstanding (Basic),25,29,29,29,9,5,5,5
Shares Outstanding (Diluted),25,29,29,29,9,5,5,5
Shares Change,176.83%,475.00%,475.00%,475.00%,-,-,-,-
EPS (Basic),-0.05,-,-,-0.02,-0.03,-,-,-
EPS (Diluted),-0.05,-,-,-0.02,-0.03,-,-,-
Free Cash Flow Per Share,-0.01,-0.01,-0.00,-0.01,-0.06,-,-,-
EBITDA,-1.22,-0,-0.05,-0.49,-0.3,-0.01,-,-
EBIT,-1.22,-0,-0.05,-0.49,-0.3,-0.01,0,-0.01
