Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30
Revenue,495.8,515.2,512.9,555.5,620,697.2,687.4,738.4,644,657.2,568.5,518,554.9,601.2,536,535.9,519.3,545.1,581.2,592.4,587.7,621.8,566.9,396.6,233,261.7,245,257.1
Revenue Growth (YoY),-20.03%,-26.10%,-25.39%,-24.77%,-3.73%,6.09%,20.91%,42.55%,16.06%,9.31%,6.06%,-3.34%,6.86%,10.29%,-7.78%,-9.54%,-11.64%,-12.34%,2.52%,49.37%,152.23%,137.60%,131.39%,54.26%,-,-,-,-
Gross Profit,495.8,515.2,512.9,555.5,620,697.2,687.4,738.4,644,657.2,568.5,518,554.9,601.2,536,535.9,519.3,545.1,581.2,592.4,587.7,621.8,566.9,396.6,233,261.7,245,257.1
"Selling, General & Admin",333.8,356.7,344,363.2,401.7,409.2,394.3,412.7,383.8,370.6,357.7,324.8,351.4,385.3,335,334.9,331.4,345,351,346.1,356.1,366.7,363,283.2,159.5,188.9,154.9,164.9
Other Operating Expenses,61.6,90.7,48.2,48.4,60.9,130.4,44.8,100.7,67.7,89.1,54.3,86.5,535.9,61.6,57.4,82.5,63.4,50.1,81.9,71,55.4,58.5,65.7,56.7,22.7,26.8,26,35.8
Operating Expenses,395.4,447.4,392.2,411.6,462.6,539.6,439.1,513.4,451.5,459.7,412,411.3,887.3,446.9,392.4,417.4,394.8,395.1,432.9,417.1,411.5,425.2,428.7,339.9,182.2,215.7,180.9,200.7
Operating Income,100.4,67.8,120.7,143.9,157.4,157.6,248.3,225,192.5,197.5,156.5,106.7,-332.4,154.3,143.6,118.5,124.5,150,148.3,175.3,176.2,196.6,138.2,56.7,50.8,46,64.1,56.4
Interest Expense / Income,3.1,3.1,3.1,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.3,3.3,3.5,4.2,4.1,4,4,3.9,3.8,4.1,4.7,2,1.1,0.5,0.5,1.4
Other Expense / Income,-16.1,-5.9,-17.9,10.1,19.9,-7.7,-5,4.8,-9.3,-11.3,-6.4,-29.5,-19.9,2.1,-7.7,-30.4,-3.6,-4.2,-0.1,-7.4,-40.2,6.4,-12.1,-8,-0.4,-1.5,1.7,6
Pretax Income,113.4,70.6,135.5,130.6,134.3,162.1,250.1,217,198.6,205.6,159.7,133,-315.8,148.9,147.8,144.7,124,150.2,144.4,178.8,212.6,186.1,145.6,62.7,50.1,47,61.9,49
