Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31
Revenue,329.25,293.04,287.12,297.14,311.49,276.88,265.33,260.84,273.4,233.08,212.87,212.11,234.61,197.31,200.98,190.49,186.79,178.64
Revenue Growth (YoY),5.70%,5.84%,8.21%,13.92%,13.93%,18.80%,24.64%,22.98%,16.54%,18.13%,5.92%,11.35%,25.60%,10.45%,-,-,-,-
Cost of Revenue,114.49,101.82,102.72,109.89,117.99,107.15,98.04,98.45,103.62,86.31,83.97,88.87,90.52,76.55,79.64,96,77.27,80.44
Gross Profit,214.76,191.22,184.4,187.25,193.5,169.73,167.29,162.39,169.78,146.77,128.9,123.24,144.09,120.76,121.34,94.49,109.52,98.2
"Selling, General & Admin",35.61,42.86,27.41,27.3,29.59,27.71,28.04,26.36,20.76,27.39,24.14,23.07,22.38,22.98,20.67,22.51,22.77,25.05
Other Operating Expenses,56.58,56.81,54.18,53.35,52.31,50.84,53.72,52.24,50.69,47.8,46.25,44.53,44.09,43.45,42.41,41.03,40.47,41.21
Operating Expenses,92.19,99.67,81.59,80.64,81.89,78.55,81.76,78.6,71.45,75.19,70.38,67.6,66.47,66.43,63.08,63.54,63.24,66.27
Operating Income,122.57,91.55,102.81,106.61,111.6,91.18,85.53,83.79,98.33,71.58,58.52,55.64,77.62,54.33,58.26,30.96,46.28,31.94
Interest Expense / Income,-12.49,-8.4,-3.41,-0.54,0.45,0.41,0.36,0.33,0.49,0.38,0.35,0.29,-0.7,-0.7,-0.64,-0.18,0,0
Other Expense / Income,14,-2.6,12.48,13.26,14.48,-1.63,10.54,10.92,13.71,-0.04,10.24,11.91,18.56,-17.19,18.97,11.99,-0.86,-0.79
Pretax Income,121.06,102.55,93.74,93.89,96.68,92.4,74.63,72.55,84.13,71.24,47.94,43.44,59.76,72.22,39.93,19.14,47.14,32.72
Income Tax,33.21,13.61,24.66,25.55,13.71,43.51,19.86,17.23,16.27,16.18,11.12,12.95,15.83,30.89,10.32,6.31,4.78,3.42
Net Income,87.86,88.95,69.08,68.34,82.97,48.89,54.76,55.32,67.86,55.06,36.81,30.5,43.93,41.33,29.61,12.83,42.35,29.31
