Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
"Selling, General & Admin",-6.07,16.22,4.7,3.45,1.18,0.32,0,0.06
Research & Development,-4.34,0,0,4.34,0,0,0,0
Other Operating Expenses,0.2,0,0,0,0.05,0,0,0
Operating Expenses,-10.21,16.22,4.7,7.79,1.23,0.32,0,0.07
Operating Income,10.21,-16.22,-4.7,-7.79,-1.23,-0.32,-0,-0.07
Interest Expense / Income,-0.36,0,0,0.36,0,0,0,0
Other Expense / Income,-30.79,-13.1,-0.4,40.03,-0.01,-0.16,-,-
Pretax Income,41.37,-3.12,-4.31,-48.19,-1.22,-0.16,-0,-0.07
Income Tax,0.26,0.68,0.03,0,0,0,0,0
Net Income,41.11,-3.8,-4.34,-48.19,-1.22,-0.16,-0,-0.07
Shares Outstanding (Basic),37,37,37,100,17,14,8,100
Shares Outstanding (Diluted),37,37,37,100,17,14,8,100
Shares Change,124.30%,157.60%,396.20%,-,-,-,-,-
EPS (Basic),0.29,-0.10,-0.12,-0.48,-0.06,-0.01,-,-
EPS (Diluted),0.29,-0.10,-0.12,-0.48,-0.06,-0.01,-,-
Free Cash Flow Per Share,-0.01,-0.00,0.18,-0.07,-0.07,0.00,-,-
Effective Tax Rate,0.64%,-,-,-,-,-,-,-
EBITDA,41.01,-3.12,-4.32,-47.81,-1.22,-0.16,-0,-0.07
Depreciation & Amortization,0,0,-0.01,0.01,0,0,0,0
EBIT,41.01,-3.12,-4.31,-47.82,-1.22,-0.16,-0,-0.07
