Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+70 Quarters
Cost of Revenue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01,0.06,0.01,0,0.01,0.01,0.01,0.02,0.02,0.05,0.01,Upgrade
Gross Profit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,-0.06,-0.01,-0,-0.01,-0.01,-0.01,-0.02,-0.02,-0.05,-0.01,Upgrade
"Selling, General & Admin",0.22,0.08,0.11,0.07,0.19,0.09,0.09,0.1,0.19,0.09,0.09,0.13,0.14,0.09,0.1,0.18,0.13,0.14,0.08,0.15,0.12,0.1,0.09,0.12,0.13,0.06,0.11,0.13,0.09,0.11,0.06,0.12,0,0.15,0.14,0.12,0.16,0.2,0.19,0.21,Upgrade
Other Operating Expenses,0.32,0.35,0.28,0.27,0.27,0.26,0.26,0.26,0.34,0.32,0.25,0.3,0.28,0.27,0.27,0.27,0.28,0.33,0.55,0.22,0.22,0.23,0.22,0.24,0.22,0.23,0.23,0.21,0.23,0.22,0.23,0.22,0,0.23,0.22,0.23,0.21,0.75,0.26,0.26,Upgrade
Operating Expenses,0.54,0.43,0.4,0.34,0.46,0.35,0.35,0.36,0.52,0.41,0.34,0.43,0.41,0.36,0.37,0.45,0.41,0.46,0.63,0.37,0.34,0.32,0.31,0.36,0.35,0.29,0.34,0.34,0.32,0.33,0.29,0.34,0,0.38,0.37,0.35,0.37,0.94,0.46,0.47,Upgrade
Operating Income,-0.54,-0.43,-0.4,-0.34,-0.46,-0.35,-0.35,-0.36,-0.52,-0.41,-0.34,-0.43,-0.41,-0.36,-0.37,-0.45,-0.41,-0.46,-0.63,-0.37,-0.34,-0.32,-0.31,-0.36,-0.35,-0.29,-0.34,-0.34,-0.32,-0.32,-0.35,-0.35,-0,-0.39,-0.38,-0.36,-0.39,-0.96,-0.51,-0.48,Upgrade
Interest Expense / Income,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0.11,0.17,0,0.17,0.18,0.18,0.18,0.28,0.3,0.29,Upgrade
Other Expense / Income,-1.87,-2.1,-1.82,-1.43,-1.25,-1.26,-1.25,-1.39,-2.24,-2.11,-1.3,-2.03,-1.48,-1.67,-1.67,-1.82,-1.64,-1.56,-8.52,-1.08,-1.04,-1.1,-0.92,-1.37,-1.09,-1.11,-1.1,-1.09,-1.21,-1,-1.14,-1.12,-0,-1.18,-1.18,-1.24,-1.13,-7.85,-1.43,-1.42,Upgrade
Pretax Income,1.33,1.67,1.42,1.09,0.79,0.9,0.9,1.04,1.71,1.71,0.96,1.6,1.07,1.32,1.3,1.38,1.23,1.09,7.89,0.71,0.7,0.78,0.61,1.01,0.74,0.81,0.75,0.74,0.89,0.47,0.68,0.6,0,0.63,0.62,0.7,0.56,6.61,0.63,0.65,Upgrade
Income Tax,0.28,0.4,0.24,0.24,0.17,0.19,0.19,0.22,0.36,0.36,0.2,0.34,0.22,0.26,0.27,0.29,0.26,0.28,1.9,0,0,1.63,0,0,0,1.12,0,0,0,0.81,0,0,0,0.95,0,0,0,3.06,0,0,Upgrade
