Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-06-30,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31
Revenue,248.26,268.8,265.06,207.56,248.86,212.64,197.98,145.57,-,-,95.08,323.5,275.13,654.86,652.13,443.72,490.35,335.67,584.64,467.74,256.04,137.35,113.83,96.65,-
Revenue Growth (YoY),-0.24%,26.41%,33.88%,42.59%,-,-,108.22%,-55.00%,-,-,-85.42%,-27.09%,-43.89%,95.09%,11.54%,-5.14%,91.51%,144.39%,413.63%,383.93%,-,-,-,-,-
Cost of Revenue,195.89,201.19,212.2,168,212.33,167.6,161.6,108.6,-,-,"1,018.44",26.98,24.4,55.94,38.72,47.36,59.11,49.3,61.25,41.79,23.36,17.43,18.5,13.39,-
Gross Profit,52.37,67.61,52.87,39.56,36.54,45.04,36.38,36.96,-,-,-923.36,296.52,250.74,598.92,613.41,396.35,431.24,286.38,523.39,425.95,232.68,119.92,95.32,83.26,-
"Selling, General & Admin",-78.61,57.58,59.44,64.41,-75.87,73.43,72.79,67.19,-,-,-906.53,355.9,301.33,500.61,514.87,389.34,458.75,301.81,567.01,402.92,224.62,127.07,118.5,98.09,-
Research & Development,-87.69,28.62,29.3,29.77,-102.25,32.19,33.14,36.92,-,-,50.23,66.5,73.29,82.32,81.71,63.52,52.47,43.57,74.25,34.86,23.69,21.11,19.97,19.6,-
Other Operating Expenses,-13.33,13.33,0,0,0,0,0,0,0,0,34.36,250.32,30,0,0,0,0,0,0,0,0,0,0,0,0
Operating Expenses,-179.62,99.53,88.75,94.18,-178.12,105.62,105.93,104.11,-,-,-821.94,672.73,404.61,582.93,596.58,452.87,511.22,345.38,641.26,437.77,248.31,148.17,138.47,117.69,-
Operating Income,231.99,-31.92,-35.88,-54.61,214.65,-60.58,-69.55,-67.14,-,-,-101.42,-376.21,-153.88,16,16.84,-56.51,-79.98,-59,-117.87,-11.82,-15.63,-28.26,-43.15,-34.42,-
Interest Expense / Income,-0.4,1.22,1.58,1.32,1.17,1.25,0.73,1.04,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
