Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30
Revenue,2.31,1.12,0.19,0.23,0.19,0.33,0.22,0.33,0.18,0.33,0.25,0.34,0.34,0.51,0.55,0.66,0.66,0.77,0.78,0.88,0.96,1.35,1.04,0.98,1.02,0.88,1.01,1.44,1.58,1.75,1.61,2.02,1.59,1.67,1.98
Revenue Growth (YoY),1111.24%,238.04%,-16.03%,-28.58%,8.15%,1.26%,-11.43%,-4.13%,-48.24%,-35.85%,-54.32%,-47.99%,-48.61%,-33.40%,-29.28%,-24.98%,-31.11%,-43.15%,-25.03%,-10.19%,-5.88%,53.02%,3.52%,-31.89%,-35.06%,-49.63%,-37.38%,-28.81%,-0.69%,4.91%,-18.83%,-,-,-,-
Cost of Revenue,1.67,0.99,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gross Profit,0.65,0.13,0.15,0.23,0.19,0.33,0.22,0.33,0.18,0.33,0.25,0.34,0.34,0.51,0.55,0.66,0.66,0.77,0.78,0.88,0.96,1.35,1.04,0.98,1.02,0.88,1.01,1.44,1.58,1.75,1.61,2.02,1.59,1.67,1.98
"Selling, General & Admin",0.27,-0.05,0.36,0.29,0.15,0.15,0.14,0.13,0.13,0.16,0.15,0.1,0.17,0.21,0.19,0.2,0.3,0.27,0.25,0.25,0.2,0.32,0.33,0.35,0.62,0.03,0.62,0.52,0.48,0.04,0.38,0.44,0.43,1.01,0
Other Operating Expenses,2.34,9.22,5.06,5.32,5.07,4.21,2.28,0.51,1.78,0.47,2.85,0.68,0.73,2.14,0.72,0.93,0.69,1.24,0.74,0.08,0.78,2.91,1.16,1.26,0.91,1.51,1.69,1.53,1.61,1.38,0.66,0.44,0.56,-0.14,0.95
Operating Expenses,2.62,9.17,5.41,5.61,5.22,4.37,2.42,0.64,1.9,0.63,3.01,0.77,0.9,2.34,0.91,1.13,0.99,1.51,0.99,0.33,0.97,3.23,1.49,1.61,1.53,1.53,2.31,2.05,2.09,1.42,1.04,0.88,0.99,0.87,0.95
Operating Income,-1.97,-9.05,-5.26,-5.37,-5.03,-4.04,-2.19,-0.31,-1.73,-0.31,-2.75,-0.43,-0.56,-1.83,-0.36,-0.47,-0.32,-0.74,-0.21,0.55,-0.01,-1.88,-0.45,-0.63,-0.51,-0.65,-1.3,-0.61,-0.51,0.33,0.57,1.14,0.6,0.8,1.03
Interest Expense / Income,0,0,0,0,0,0,0,0,0,-0,-0,0.01,0.01,0.03,0.02,0.05,0,-0.01,0.38,0.09,0,0.24,0.12,0.13,0.13,0.13,0.14,0.16,0.16,0.35,0.16,0.21,0.19,0.22,0.24
Other Expense / Income,3.42,10.52,0.09,-8.22,0.7,0.91,3.27,-11.43,-6.11,-0,-,-,-0.02,-0.04,-0.1,-0.07,0.13,-0.41,-,-,-,0.6,-,0.51,-,-,-,-,-,0.15,0.41,0.93,0.4,2.42,0.04
Pretax Income,-5.39,-19.57,-5.35,2.84,-5.73,-4.94,-5.47,11.12,4.38,-0.3,-2.75,-0.44,-0.55,-1.82,-0.28,-0.45,-0.46,-0.33,-0.59,0.46,-0.01,-2.73,-0.57,-1.26,-0.64,-0.78,-1.45,-0.77,-0.68,-0.17,0,0,0,-1.85,0.75
Income Tax,0,0.13,1.31,0,0,0.3,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.13,-0.47,-0.23,-0.26,-0.53,-0.27,-0.24,-0.15,0,0,0,0,0
Net Income,-5.39,-19.69,-6.66,2.84,-5.73,-5.24,-5.49,11.11,4.38,-0.3,-2.75,-0.44,-0.55,-1.82,-0.28,-0.45,-0.46,-0.33,-0.59,0.46,-0.01,-2.73,-4.7,-0.79,-0.4,-0.52,-0.91,-0.5,-0.44,-0.02,0,0,0,-1.85,0.75
Net Income Growth,-,-,-,-74.39%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Shares Outstanding (Basic),13,13,13,13,13,7,5,5,5,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Shares Outstanding (Diluted),13,13,13,13,13,8,5,5,5,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-
Shares Change,0.24%,65.15%,141.48%,141.41%,140.11%,388.46%,176.88%,592.59%,741.22%,158.90%,212.38%,24.91%,3.23%,214.46%,401.21%,401.22%,400.85%,181.56%,89.49%,89.49%,89.49%,7.27%,-,-,-,-,-,-,-,-,-,-,-,-,-
EPS (Basic),-0.41,-1.50,-0.51,0.22,-0.44,-1.19,-1.01,2.05,0.87,0.81,-1.41,-0.56,-0.85,-2.90,-0.45,-0.70,-0.75,-1.25,-4.70,3.65,-0.05,-39.00,-71.25,-12.00,-6.00,-8.00,-14.00,-7.50,-6.50,-0.50,-,-,-,-,-
