Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-06-30
Revenue,183.16,69.38,133.05,158.65,270.59,449.6,211.73,196.9,204.18,445.92,163.36,127.06,141.01,308.49,74.51
Revenue Growth (YoY),-32.31%,-84.57%,-37.16%,-19.42%,32.53%,0.82%,29.61%,54.97%,44.80%,44.55%,119.24%,-,-,-,-
Cost of Revenue,45.46,20.63,48.04,51.07,67.92,99.89,53.63,37.44,48.38,94.68,25.83,36.56,42.13,90.38,26.56
Gross Profit,137.7,48.75,85.01,107.58,202.67,349.71,158.1,159.46,155.8,351.24,137.53,90.5,98.88,218.11,47.95
"Selling, General & Admin",68.36,81.82,48.27,82.82,113.25,224.32,83.81,81.03,74.17,116.14,219.4,31.99,36.56,38.49,12.13
Research & Development,9.54,11.53,11.06,10.75,12.76,15.18,11.65,11.98,9.62,9.53,39.52,5.71,4.59,6.01,4.3
Other Operating Expenses,65.54,88.58,84.81,115.05,101.97,533.37,111.35,85.44,70.61,83.74,76.41,51.91,47.49,78.82,16.11
Operating Expenses,143.45,181.93,144.15,208.62,227.98,772.87,206.81,178.46,154.39,209.41,335.33,89.61,88.65,123.31,32.55
Operating Income,-5.75,-133.18,-59.14,-101.04,-25.31,-423.15,-48.71,-19,1.41,141.83,-197.8,0.89,10.23,94.8,15.4
Interest Expense / Income,16.89,17.32,15.63,12.72,11.4,9.62,6.92,8.28,8.69,8.59,8.64,8.99,6.76,8.08,0.08
Other Expense / Income,-13.42,-89.39,-44.76,-69.95,-23.7,-277.87,-35.31,-15.24,-5.16,97.28,-150.07,14.8,4.41,70.68,0.04
Pretax Income,-9.22,-61.11,-30.01,-43.82,-13.01,-154.91,-20.32,-12.04,-2.12,35.96,-56.36,-22.89,-0.94,16.04,15.29
Income Tax,-0.04,0.29,0,0,0.47,0.12,-0.08,-0.03,-0.03,0.01,0.06,-0.02,-0,0.04,0.01
Net Income,-9.18,-61.4,-30.01,-43.82,-13.48,-155.03,-20.24,-12,-2.09,35.96,-56.42,-22.87,-0.94,16,15.28
Net Income Growth,-,-,-,-,-,-,-,-,-,124.80%,-,-,-,-,-
Shares Outstanding (Basic),9,9,9,8,8,8,8,7,6,6,6,21,21,21,-
Shares Outstanding (Diluted),9,9,9,8,8,8,8,7,6,6,6,-,-,-,-
Shares Change,15.72%,15.94%,16.18%,21.64%,25.83%,36.80%,35.35%,-67.34%,-70.52%,-73.13%,-,-,-,-,-
EPS (Basic),-1.12,-7.22,-3.45,-5.25,-1.74,-21.85,-2.70,-1.80,-0.30,6.40,-9.75,-,-,-,-
EPS (Diluted),-1.12,-7.22,-3.45,-5.25,-1.74,-21.85,-2.70,-1.80,-0.30,6.40,-9.75,-,-,-,-
Free Cash Flow Per Share,2.04,-4.77,10.55,-6.24,6.26,-29.59,-6.78,-9.91,4.46,-25.94,5.12,-1.53,0.96,-0.56,-
Gross Margin,75.18%,70.26%,63.89%,67.81%,74.90%,77.78%,74.67%,80.98%,76.31%,78.77%,84.19%,71.23%,70.12%,70.70%,64.35%
Operating Margin,-3.14%,-191.97%,-44.45%,-63.69%,-9.35%,-94.12%,-23.00%,-9.65%,0.69%,31.81%,-121.08%,0.70%,7.25%,30.73%,20.67%
Profit Margin,-5.01%,-88.50%,-22.55%,-27.62%,-4.98%,-34.48%,-9.56%,-6.10%,-1.02%,8.06%,-34.54%,-18.00%,-0.66%,5.18%,20.50%
Free Cash Flow Margin,9.97%,-61.14%,69.96%,-32.63%,17.92%,-50.52%,-24.34%,-34.34%,13.45%,-32.64%,17.60%,-25.18%,14.23%,-3.79%,-
Effective Tax Rate,-,-,-,-,-,-,-,-,-,0.01%,-,-,-,0.27%,0.06%
EBITDA,35.04,-17.26,14.89,-3.24,25.75,-113.69,13.99,23.21,33.15,69.66,-22.95,10.62,29.96,52.85,-
EBITDA Margin,19.13%,-24.88%,11.19%,-2.04%,9.52%,-25.29%,6.61%,11.79%,16.24%,15.62%,-14.05%,8.35%,21.25%,17.13%,-
Depreciation & Amortization,27.38,26.53,29.27,27.86,27.37,31.6,27.38,26.97,26.58,25.11,24.78,24.52,24.15,28.74,-
EBIT,7.67,-43.79,-14.38,-31.1,-1.61,-145.29,-13.4,-3.76,6.57,44.55,-47.72,-13.9,5.82,24.12,15.37
EBIT Margin,4.19%,-63.12%,-10.80%,-19.60%,-0.60%,-32.32%,-6.33%,-1.91%,3.22%,9.99%,-29.21%,-10.94%,4.13%,7.82%,20.62%
