Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Net Income,-10.68,-1.09,0.6,-7.82,-9.23,-21.54,-8.44,-0.48,-7.2,0.35,Upgrade
Depreciation & Amortization,0.74,0.95,1.09,1.02,0.84,0.9,0.99,1.03,0.9,0.75,Upgrade
Share-Based Compensation,0.21,0.22,0.71,0.96,0.97,0.9,0.86,0.3,0,0,Upgrade
Other Operating Activities,-30.74,5.29,0.59,21.2,-9.59,28.83,12.76,-4.53,12.34,1.45,Upgrade
Operating Cash Flow,-40.47,5.36,2.98,15.36,-17.01,9.09,6.17,-3.14,6.31,2.54,Upgrade
Operating Cash Flow Growth,-,79.58%,-80.59%,-,-,47.42%,-,-,148.03%,101.43%,Upgrade
Capital Expenditures,0,0,0,0,-0.09,-0.01,-0.2,-0.17,-0.44,-0.28,Upgrade
Acquisitions,30.32,4,0,0,0,0,0,-1.32,0,8.83,Upgrade
Change in Investments,26.19,-3.62,-7.34,-25.01,12.31,-25.94,-10.56,-13.8,-47.26,-4.88,Upgrade
Other Investing Activities,-,1,-,-,-,-,-,-,-,-,Upgrade
Investing Cash Flow,56.5,1.38,-7.34,-25.01,12.22,-25.95,-10.75,-15.29,-47.7,3.67,Upgrade
Share Issuance / Repurchase,5.01,-0.01,-0.04,4.32,-0.64,5,-0.63,36.07,28.48,0.05,Upgrade
Debt Issued / Paid,-2.92,-5,5.12,2,5.8,12.25,5,-14.81,14.43,1.1,Upgrade
Other Financing Activities,-,-,-,-,-1.45,-1.01,-,-8.61,5.69,-,Upgrade
Financing Cash Flow,2.09,-5.01,5.08,6.32,3.71,16.24,4.38,12.65,48.59,1.15,Upgrade
Net Cash Flow,18.12,1.72,0.73,-3.33,-1.08,-0.63,-0.21,-5.79,7.19,7.36,Upgrade
Free Cash Flow,-40.47,5.36,2.98,15.36,-17.09,9.08,5.97,-3.3,5.86,2.26,Upgrade
Free Cash Flow Growth,-,79.58%,-80.59%,-,-,52.02%,-,-,159.45%,87.00%,Upgrade
Free Cash Flow Margin,-38.59%,4.62%,2.88%,16.00%,-17.28%,9.37%,6.36%,-4.67%,9.62%,6.75%,Upgrade
Free Cash Flow Per Share,-3.79,0.55,0.31,1.73,-2.00,1.15,0.78,-0.61,2.19,1.29,Upgrade
