Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 1994
Net Income,202.2,192.1,161.2,181,160.2,106.5,95.7,86.8,84.4,86.14,Upgrade
Depreciation & Amortization,55.5,44.4,45.1,38.7,27.6,18.4,19.5,18.31,16.86,16.25,Upgrade
Share-Based Compensation,9.6,8.9,7.5,8,5.6,3.9,4.4,3.96,3.63,2.94,Upgrade
Other Operating Activities,267.1,36.9,54.5,-100.4,25.6,25.8,-1.6,6.33,17.12,44.91,Upgrade
Operating Cash Flow,534.4,282.3,268.3,127.3,219,154.6,118,115.4,122.01,150.23,Upgrade
Operating Cash Flow Growth,89.30%,5.22%,110.76%,-41.87%,41.66%,31.02%,2.25%,-5.42%,-18.78%,10.60%,Upgrade
Capital Expenditures,-10.5,-10.3,-30.2,-16.6,-4.9,-11,-11.9,-5.97,2.94,-5.65,Upgrade
Acquisitions,"2,006.9",0,0,298.4,28.1,91.8,18.6,-1.64,35.56,0,Upgrade
Change in Investments,"-2,950.1","-2,112.4","-1,854.7",-336.9,-225.4,-197.1,-165.2,-80.81,-241.46,-194.62,Upgrade
Other Investing Activities,4.7,2.7,15.1,38.3,21.1,-14.3,15.4,-6.92,7.13,-4.67,Upgrade
Investing Cash Flow,-949,"-2,120","-1,869.8",-16.8,-181.1,-130.6,-143.1,-95.34,-195.84,-204.94,Upgrade
Dividends Paid,-182.1,-101.6,-128.6,-79.2,-64.1,-48.6,-39.4,-36.29,-28.63,-17.91,Upgrade
Share Issuance / Repurchase,-199.7,-5,-115.7,-1.5,0.8,1.1,-22.2,-17.28,-3.74,9.37,Upgrade
Debt Issued / Paid,"2,206.1",-40.3,492.3,-51.2,39,110.6,9,-5.06,10.75,-48.62,Upgrade
Other Financing Activities,"-2,884","2,052.6","2,553.5",276.2,49.5,-110.2,79.2,20.35,359.29,-154.63,Upgrade
Financing Cash Flow,"-1,059.7","1,905.7","2,801.5",144.3,25.2,-47.1,26.6,-38.27,337.68,-211.79,Upgrade
Net Cash Flow,"-1,474.3",68,"1,200",254.8,63.1,-23.1,1.5,-18.21,263.84,-266.51,Upgrade
Free Cash Flow,523.9,272,238.1,110.7,214.1,143.6,106.1,109.44,124.95,144.57,Upgrade
Free Cash Flow Growth,92.61%,14.24%,115.09%,-48.30%,49.09%,35.34%,-3.05%,-12.42%,-13.57%,19.09%,Upgrade
Free Cash Flow Margin,51.21%,41.63%,39.90%,17.75%,38.05%,29.88%,26.11%,28.87%,34.05%,40.75%,Upgrade
Free Cash Flow Per Share,5.02,4.37,3.77,1.70,3.53,2.54,2.36,2.41,2.74,3.28,Upgrade
