Year,2022,2021,2020
Net Income,23.56,10.85,4.97
Depreciation & Amortization,1.74,1.48,1.35
Share-Based Compensation,1.68,0.9,0.77
Other Operating Activities,-1.94,-0.04,-6.52
Operating Cash Flow,25.05,13.19,0.57
Operating Cash Flow Growth,89.88%,2230.74%,-
Capital Expenditures,-1.12,-2.08,-1.09
Acquisitions,0,26.16,0
Change in Investments,-373.02,65.77,-6.2
Investing Cash Flow,-374.15,89.85,-7.29
Dividends Paid,-2.05,0,0
Share Issuance / Repurchase,27.77,0.11,0.22
Debt Issued / Paid,-57.71,-199,-15.59
Other Financing Activities,364.49,182.18,14.47
Financing Cash Flow,332.5,-16.71,-0.9
Net Cash Flow,-16.6,86.34,-7.62
Free Cash Flow,23.93,11.11,-0.53
Free Cash Flow Growth,115.31%,-,-
Free Cash Flow Margin,36.43%,25.22%,-1.93%
Free Cash Flow Per Share,3.28,2.38,-0.13
