Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012 - 2010
Net Income,7.14,-16.64,-12.44,-5.73,-5.07,-2.75,-3.85,-2.52,-3.44,-1.95,Upgrade
Depreciation & Amortization,0.34,0.05,0.06,0.06,0.15,0.3,0.38,0.4,0.4,0.32,Upgrade
Share-Based Compensation,0.03,4.98,0.16,0.02,0,0,0,0,0,0.01,Upgrade
Other Operating Activities,65.66,-13.73,-4.03,3.2,-15.45,-5.2,2.54,0.92,0.7,2.13,Upgrade
Operating Cash Flow,73.16,-25.34,-16.24,-2.46,-20.37,-7.65,-0.93,-1.2,-2.33,0.51,Upgrade
Capital Expenditures,-1.84,-0.33,-0.07,-0.05,-0.01,-0.03,-0.03,-0.04,-0.13,-0.09,Upgrade
Acquisitions,0,0,0,-0.5,0,0,2.43,0.32,0,0,Upgrade
Change in Investments,-706.87,-452.08,-367.41,-117.35,1.88,7.3,-4.73,-2.28,-1.17,-3.34,Upgrade
Other Investing Activities,-,-,-,-,-,-,1.43,-,-,-,Upgrade
Investing Cash Flow,-708.71,-452.41,-367.48,-117.89,1.86,7.27,-0.91,-2,-1.3,-3.44,Upgrade
Share Issuance / Repurchase,0,-0.12,79.14,0,0,0,0,0.29,-0.06,-0.22,Upgrade
Debt Issued / Paid,25,0,0,-0,18.94,0,0,0,0,-0.1,Upgrade
Other Financing Activities,659.95,468.2,412.55,161.23,1.45,0.67,1.3,1.8,2.63,2.27,Upgrade
Financing Cash Flow,684.95,468.08,491.69,161.23,20.39,0.67,1.3,2.08,2.57,1.96,Upgrade
Net Cash Flow,49.4,-9.67,107.96,40.88,1.88,0.29,-0.53,-1.12,-1.07,-0.97,Upgrade
Free Cash Flow,71.33,-25.67,-16.31,-2.5,-20.38,-7.68,-0.96,-1.24,-2.47,0.42,Upgrade
Free Cash Flow Margin,237.37%,-85.38%,-154.16%,-73.62%,-2327.27%,-315.94%,-23.34%,-32.70%,-53.16%,8.20%,Upgrade
Free Cash Flow Per Share,19.13,-6.87,-6.00,-1.22,-445.54,-168.79,-21.28,-34.34,-93.65,22.95,Upgrade
