Year,2022,2021,2020,2019,2018,2017,2016
Net Income,31.72,20.64,-31.18,17.29,7.63,13.99,6.8
Depreciation & Amortization,2.12,2.41,2.45,2.47,1.43,1.19,0.51
Share-Based Compensation,3.34,2.16,0.97,0,0,0,0
Other Operating Activities,11,23.83,33.7,-125.1,-81.55,22.46,22.46
Operating Cash Flow,48.67,57.62,54.89,-105.34,-72.49,37.64,29.77
Operating Cash Flow Growth,-15.53%,4.97%,-,-,-,26.46%,-
Capital Expenditures,-0.33,-0.33,-1.57,-2,-1.7,-3.08,-2.92
Acquisitions,0,-10.76,0,0,0,0,0
Change in Investments,-906.57,-654.6,93.15,-309.92,-272.83,-272.18,-178.91
Other Investing Activities,-1.34,9.2,-3.84,5.99,4.34,0.48,0.73
Investing Cash Flow,-908.24,-656.48,87.74,-305.93,-270.2,-274.78,-181.09
Share Issuance / Repurchase,0.15,0.14,102.96,0,0,0,0
Debt Issued / Paid,873.87,626.6,-291.99,449.86,343.63,207.86,135.63
Other Financing Activities,-,-0.56,39.14,-27.71,-,-6.74,55.15
Financing Cash Flow,874.02,626.17,-149.89,422.15,343.63,201.12,190.78
Net Cash Flow,14.45,27.31,-7.26,10.88,0.95,-36.02,39.46
Free Cash Flow,48.35,57.29,53.32,-107.34,-74.19,34.56,26.85
Free Cash Flow Growth,-15.61%,7.45%,-,-,-,28.72%,-
Free Cash Flow Margin,46.39%,67.84%,77.61%,-177.36%,-144.31%,90.65%,100.01%
Free Cash Flow Per Share,1.51,2.51,2.65,-5.65,-3.90,-,-
