Year,2022,2021,2020,2019,2018,2017
Net Income,-108.67,135.44,5.98,-0.47,-12.32,-7.72
Depreciation & Amortization,13.51,7.54,2.28,0.77,0.31,0.09
Share-Based Compensation,125.93,72.95,12.3,3.81,2.05,1.29
Other Operating Activities,-705.46,-47.58,-4.86,27.47,60.3,16.69
Operating Cash Flow,-674.68,168.35,15.7,31.58,50.34,10.36
Operating Cash Flow Growth,-,972.52%,-50.30%,-37.26%,386.03%,-
Capital Expenditures,-22.91,-15.12,-5.61,-5.28,-1.04,-0.77
Acquisitions,0,-16.76,0,0,0,0
Change in Investments,-91.21,-112.01,142.12,50.71,-136.19,-392.65
Investing Cash Flow,-114.13,-143.88,136.52,45.43,-137.24,-393.42
Share Issuance / Repurchase,-157.87,282.81,161.85,0.28,0.32,0.14
Debt Issued / Paid,287.92,631.38,-82.18,-115.96,87.84,397.01
Other Financing Activities,-0.02,-58.76,-0.62,-3.5,47.6,15.56
Financing Cash Flow,130.03,855.43,79.05,-119.19,135.77,412.72
Net Cash Flow,-658.77,879.91,231.27,-42.18,48.87,29.65
Free Cash Flow,-697.59,153.24,10.09,26.3,49.29,9.58
Free Cash Flow Growth,-,1418.41%,-61.63%,-46.64%,414.34%,-
Free Cash Flow Margin,-82.81%,18.06%,4.32%,16.02%,49.63%,16.73%
Free Cash Flow Per Share,-8.43,1.96,0.58,1.83,3.49,0.69
