Year,2022,2021,2020,2019,2018,2017,2016,2015
Net Income,40.45,39.81,27.4,26.28,20.6,14.44,12.12,10.11
Depreciation & Amortization,4.94,5.51,5.47,5.26,4.63,4.2,4.16,3.91
Share-Based Compensation,0.69,0.73,0.75,0.66,0.59,0.36,0.21,0.24
Other Operating Activities,-7.22,-2.51,8.9,-0.16,2.4,10.68,5.91,-6.04
Operating Cash Flow,38.85,43.54,42.52,32.05,28.21,29.67,22.41,8.21
Operating Cash Flow Growth,-10.79%,2.41%,32.69%,13.58%,-4.90%,32.40%,172.81%,-
Capital Expenditures,-3.82,-1.69,-5.04,-4.44,0.84,-0.04,1.01,-2.72
Acquisitions,0,0,0,0,18.5,0,2.4,-1.95
Change in Investments,-681.14,-201.45,-160.73,-13.3,-128.07,-183.77,-137.39,-142.82
Other Investing Activities,-,0.46,-,-,-,-,-,-
Investing Cash Flow,-684.96,-202.68,-165.77,-17.74,-108.73,-183.81,-133.98,-147.5
Dividends Paid,-10.32,-9.43,-8.49,-8.07,-7.03,-5.56,-4.62,-4.53
Share Issuance / Repurchase,-7.27,2.02,-16.29,-9.22,-3.94,55.84,-3.63,-7.3
Debt Issued / Paid,259.91,-70.08,79.51,-63.15,57.83,-31.78,30.01,-72.63
Other Financing Activities,10.66,384.44,329.59,85.32,13.74,99.53,105.97,229.46
Financing Cash Flow,252.98,306.95,384.32,4.9,60.6,118.02,127.74,145
Net Cash Flow,-393.14,147.81,261.08,19.2,-19.92,-36.12,16.16,5.72
Free Cash Flow,35.02,41.85,37.48,27.61,29.05,29.63,23.42,5.49
Free Cash Flow Growth,-16.32%,11.66%,35.75%,-4.96%,-1.95%,26.51%,326.50%,-
Free Cash Flow Margin,27.11%,34.35%,37.55%,29.19%,35.44%,41.69%,37.05%,9.62%
Free Cash Flow Per Share,2.93,3.46,3.42,2.39,2.44,2.68,2.12,-
