Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
Net Income,52.91,52.14,29.99,23.77,14.09,4.85,5.11,4.1,4.03,4.79
Depreciation & Amortization,4.82,4.16,3.16,1.59,1.17,1.18,1.3,1.19,0.81,0.85
Share-Based Compensation,3.7,2.86,2.45,1.09,1.01,0,0,0,0.49,0.5
Other Operating Activities,6.81,-2.72,-6.27,-2.04,3,1.94,1.74,-1.89,1.56,2.08
Operating Cash Flow,69.58,56.44,29.34,24.42,19.28,7.97,8.15,3.4,6.89,8.22
Operating Cash Flow Growth,23.27%,92.38%,20.15%,26.68%,141.92%,-2.23%,139.85%,-50.70%,-16.14%,-
Capital Expenditures,-7.78,-3.97,-2.97,-3.96,-0.92,-0.51,-1.32,-0.96,-0.22,-0.33
Acquisitions,163.46,-20.98,106,-17.45,-9.15,0,-3.45,87.13,0,0
Change in Investments,-840.1,-644.09,-582.74,-173.06,-160.91,-154.02,-30.69,-102.99,15.85,-11.71
Other Investing Activities,-16.1,-6.31,4.42,2.17,0.65,1.08,2.12,2.7,0.34,0.17
Investing Cash Flow,-700.52,-675.35,-475.3,-192.29,-170.32,-153.44,-33.34,-14.12,15.97,-11.87
Dividends Paid,-10.82,-9.44,-7.52,-5.05,-3.28,-1.79,-1.06,0,0,0
Share Issuance / Repurchase,47.39,-10.35,-6.76,-0.85,27.65,62.42,-0.85,-2.81,0,0.12
Debt Issued / Paid,342.34,77.82,-138.39,93.76,-9.32,27.53,-0.2,-5.35,0,-25
Other Financing Activities,336.41,480.12,658.39,73.32,124.47,122.74,28.56,33.78,-6.92,27.85
Financing Cash Flow,715.31,538.16,505.72,161.17,139.52,210.89,26.45,25.62,-6.92,2.97
Net Cash Flow,84.37,-80.76,59.76,-6.7,-11.52,65.42,1.26,14.9,15.94,-0.69
Free Cash Flow,61.8,52.47,26.37,20.46,18.36,7.46,6.83,2.44,6.67,7.89
Free Cash Flow Growth,17.77%,98.99%,28.89%,11.45%,145.97%,9.30%,180.30%,-63.50%,-15.41%,-
Free Cash Flow Margin,28.35%,28.89%,19.14%,23.17%,27.15%,16.31%,16.34%,6.74%,27.18%,30.70%
Free Cash Flow Per Share,2.46,2.57,1.28,1.54,1.59,0.73,0.97,0.35,1.26,-
