Year,2022,2021,2020,2019
Net Income,-271.07,-44.48,-3.29,-8.48
Depreciation & Amortization,35.14,8.47,4.56,1.68
Share-Based Compensation,2.64,3.77,0,0
Other Operating Activities,225.13,72.32,-0.72,-0.11
Operating Cash Flow,-8.17,40.08,0.56,-6.9
Operating Cash Flow Growth,-,7095.87%,-,-
Capital Expenditures,-121.85,-163.57,-10.56,-9.75
Change in Investments,0.5,0,0,0
Other Investing Activities,-,27.11,-,-
Investing Cash Flow,-121.35,-136.46,-10.56,-9.75
Share Issuance / Repurchase,9.32,47.55,0,0
Debt Issued / Paid,52.82,89.4,3.3,12.7
Other Financing Activities,-,36.97,-,15
Financing Cash Flow,62.14,173.92,3.3,27.7
Net Cash Flow,-67.38,77.55,-6.7,11.05
Free Cash Flow,-130.02,-123.49,-10,-16.66
Free Cash Flow Margin,-144.49%,-126.88%,-49.71%,-375.20%
Free Cash Flow Per Share,-30.68,-38.60,-2.61,-
