Year,2022,2021,2020,2019,2018,2017
Net Income,21.83,35.59,26.44,10.48,8.16,1.87
Depreciation & Amortization,-1.41,-5.92,-2.89,0.66,1.42,0.96
Share-Based Compensation,1.48,1.61,0.76,0.27,0.29,0.2
Other Operating Activities,62.77,133.85,-182.78,10.15,1.15,6.28
Operating Cash Flow,84.67,165.12,-158.47,21.57,11.03,10.48
Operating Cash Flow Growth,-48.72%,-,-,95.55%,5.26%,-
Capital Expenditures,-2.91,-5.37,-0.75,-0.75,-1.64,-2.41
Acquisitions,0,0,0,0,0,-3.23
Change in Investments,-385.24,-125.14,-370.08,-142.33,-154.46,-98.07
Other Investing Activities,-5,-10,0.13,-,0.49,-5.94
Investing Cash Flow,-393.15,-140.52,-370.7,-143.08,-155.6,-109.64
Dividends Paid,-10.93,-9.68,-1.53,0,0,0
Share Issuance / Repurchase,-12.21,-1.93,-7.31,0,0.14,42.12
Debt Issued / Paid,80.46,-231.35,145.21,37.89,7.86,-12.28
Other Financing Activities,266.07,205.08,390.17,99.04,125.02,85.96
Financing Cash Flow,323.39,-37.87,526.54,136.93,133.02,115.8
Net Cash Flow,14.91,-13.26,-2.63,15.42,-11.55,16.63
Free Cash Flow,81.76,159.75,-159.21,20.82,9.39,8.07
Free Cash Flow Growth,-48.82%,-,-,121.73%,16.38%,-
Free Cash Flow Margin,74.76%,106.48%,-124.76%,30.48%,14.80%,12.71%
Free Cash Flow Per Share,6.93,13.27,-12.98,1.63,0.73,-
