Year,2022,2021,2020,2019,2017,2016
Net Income,309.34,226.83,166.3,83.77,83.65,-
Depreciation & Amortization,178.88,171.31,153.79,139.33,68.62,80.86
Share-Based Compensation,66.64,50.04,40.15,33.41,2.38,0.52
Other Operating Activities,77.96,129.84,83,54.49,69.94,90.47
Operating Cash Flow,632.82,578.02,443.23,311,224.58,171.85
Operating Cash Flow Growth,9.48%,30.41%,42.52%,38.48%,30.69%,-
Capital Expenditures,-60.1,-51.35,-42.54,-44.46,-40.62,-35.35
Acquisitions,0,-207.76,0,0,0.07,-15.22
Change in Investments,0,0,-20,0,-5,0
Investing Cash Flow,-60.1,-259.11,-62.54,-44.46,-45.55,-50.57
Dividends Paid,-66.01,-64.57,-58.09,-35.94,0,0
Share Issuance / Repurchase,-89.13,17.43,724.59,"1,956.28",0,0
Other Financing Activities,-121.56,-88.96,-719.19,"-2,138.49",-153.46,-130.52
Financing Cash Flow,-276.7,-136.1,-52.69,-218.14,-153.46,-130.52
Net Cash Flow,285.18,180.77,330.57,50.41,28.72,-15.44
Free Cash Flow,572.73,526.67,400.7,266.54,183.96,136.5
Free Cash Flow Growth,8.74%,31.44%,50.33%,44.89%,34.77%,-
Free Cash Flow Margin,48.18%,48.93%,44.89%,34.37%,36.47%,-
Free Cash Flow Per Share,2.79,2.62,2.22,1.80,-,-
