Year,2022,2021,2020,2019,2018,2017,2016
Net Income,86.17,92.05,57.6,54.72,22.74,31.07,32.95
Depreciation & Amortization,13.35,11.64,10.36,4.99,3.75,3.47,3.28
Share-Based Compensation,12.29,12.93,11.95,7.26,2.59,0,0
Other Operating Activities,30.34,-17.92,-30.87,-45.15,27.51,1.5,22.76
Operating Cash Flow,142.16,98.7,49.04,21.82,56.59,36.04,58.99
Operating Cash Flow Growth,44.02%,101.26%,124.73%,-61.44%,57.03%,-38.91%,-
Capital Expenditures,-5.43,-3.61,-4.62,-19.34,-13.26,-6.51,-3.67
Acquisitions,281.54,40.83,310.5,73.72,0,0,0
Change in Investments,-334.59,-180.45,346.69,342.23,-902.13,-322.55,-284.53
Other Investing Activities,-556.24,-300.37,-394.92,-917.62,-27.75,-1.26,-2.38
Investing Cash Flow,-614.73,-443.61,257.65,-521.01,-943.15,-330.32,-290.57
Share Issuance / Repurchase,-99,-108.16,-108.34,-54.2,447,0,0
Debt Issued / Paid,758.73,-420.01,-611.75,221.32,265.7,48.94,-16.1
Other Financing Activities,-78.89,521.07,760.81,365.42,150.56,300.61,250.19
Financing Cash Flow,580.83,-7.09,40.72,532.54,863.26,349.56,234.1
Net Cash Flow,108.27,-351.99,347.41,33.35,-23.3,55.28,2.52
Free Cash Flow,136.73,95.09,44.42,2.48,43.33,29.53,55.33
Free Cash Flow Growth,43.78%,114.07%,1691.13%,-94.28%,46.73%,-46.62%,-
Free Cash Flow Margin,46.87%,33.73%,18.95%,1.24%,24.20%,19.62%,38.55%
Free Cash Flow Per Share,1.29,0.91,0.41,0.02,0.39,0.29,-
