Year,2022,2021,2020,2019
Net Income,2.11,0.79,-0.42,0.78
Depreciation & Amortization,0.29,0.17,0.21,0.2
Share-Based Compensation,0.22,0.15,0,0
Other Operating Activities,0.75,0.29,0.42,0.5
Operating Cash Flow,3.37,1.39,0.21,1.48
Operating Cash Flow Growth,142.80%,573.79%,-86.03%,-
Capital Expenditures,0.8,-0.01,-0.69,-0.13
Change in Investments,-82.62,-63.75,-17.99,-2.26
Other Investing Activities,-,-0.5,-1.8,-
Investing Cash Flow,-81.82,-64.26,-20.48,-2.39
Share Issuance / Repurchase,-0.53,23.3,0,0
Debt Issued / Paid,30.96,-3.87,-5.48,-1.37
Other Financing Activities,38.37,19.71,63.38,6.84
Financing Cash Flow,68.79,39.14,57.9,5.48
Net Cash Flow,-9.66,-23.73,37.62,4.56
Free Cash Flow,4.17,1.38,-0.49,1.34
Free Cash Flow Growth,202.76%,-,-,-
Free Cash Flow Margin,37.65%,16.46%,-7.43%,19.61%
Free Cash Flow Per Share,1.52,0.50,-0.20,-
