Year,2022,2021,2020,2019
Net Income,0.03,-0.06,-0.11,0.41
Depreciation & Amortization,0.27,0.27,0.29,0.28
Share-Based Compensation,0.25,0,0,0
Other Operating Activities,2.45,1.24,-0.8,1.04
Operating Cash Flow,2.99,1.45,-0.62,1.74
Operating Cash Flow Growth,105.85%,-,-,-
Capital Expenditures,-0.22,-0.14,-0.1,-0.11
Change in Investments,-44.26,-11.71,-5.83,3.89
Investing Cash Flow,-44.48,-11.85,-5.93,3.77
Share Issuance / Repurchase,49.44,0,0,0
Debt Issued / Paid,-5,1,4,0
Other Financing Activities,-111.42,99.14,2.04,8.19
Financing Cash Flow,-66.98,100.14,6.04,8.19
Net Cash Flow,-108.46,89.74,-0.51,13.71
Free Cash Flow,2.77,1.31,-0.72,1.63
Free Cash Flow Growth,111.76%,-,-,-
Free Cash Flow Margin,39.35%,24.58%,-12.79%,26.90%
Free Cash Flow Per Share,0.59,0.24,-0.13,-
